Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,/criminal/10,1,0,3.7358099998527905,3.7358099998527905,3.7358099998527905,3.7358099998527905,54.0,0.0016702854231528208,0.0,4,4,4,4,4,4,4,4,4,4,4
DELETE,/criminal/100,1,0,5.4164419998414814,5.4164419998414814,5.4164419998414814,5.4164419998414814,54.0,0.0016702854231528208,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/1000,1,0,4.871385999649647,4.871385999649647,4.871385999649647,4.871385999649647,54.0,0.0016702854231528208,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/10009,2,0,7.0821899998918525,7.3178615002689185,7.0821899998918525,7.553533000645984,54.0,0.0033405708463056416,0.0,8,8,8,8,8,8,8,8,8,8,8
DELETE,/criminal/1001,1,0,5.093253000268305,5.093253000268305,5.093253000268305,5.093253000268305,54.0,0.0016702854231528208,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/10011,1,0,5.50061400008417,5.50061400008417,5.50061400008417,5.50061400008417,54.0,0.0016702854231528208,0.0,6,6,6,6,6,6,6,6,6,6,6
DELETE,/criminal/10012,1,0,5.361732999517699,5.361732999517699,5.361732999517699,5.361732999517699,54.0,0.0016702854231528208,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/10013,3,0,7,8.224802999999762,6.758282999726362,10.443422999742324,54.0,0.005010856269458463,0.0,7,7,10,10,10,10,10,10,10,10,10
DELETE,/criminal/10016,1,0,5.369629000597342,5.369629000597342,5.369629000597342,5.369629000597342,54.0,0.0016702854231528208,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/10017,7,0,17,17.161846714121307,14.188696000019263,20.667594999395078,54.0,0.011691997962069746,0.0,17,18,20,20,21,21,21,21,21,21,21
DELETE,/criminal/1002,1,0,4.861117000473314,4.861117000473314,4.861117000473314,4.861117000473314,54.0,0.0016702854231528208,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/10024,2,0,7,7.0159160000002885,6.841659000201616,7.1901729997989605,54.0,0.0033405708463056416,0.0,7,7,7,7,7,7,7,7,7,7,7
DELETE,/criminal/10026,1,0,5.106104999867966,5.106104999867966,5.106104999867966,5.106104999867966,54.0,0.0016702854231528208,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/10027,1,0,6.717936999848462,6.717936999848462,6.717936999848462,6.717936999848462,54.0,0.0016702854231528208,0.0,7,7,7,7,7,7,7,7,7,7,7
DELETE,/criminal/10028,4,0,10,19.76855425004942,8.666261000144004,36.25078599998233,54.0,0.006681141692611283,0.0,25,25,36,36,36,36,36,36,36,36,36
DELETE,/criminal/1003,1,0,5.627309000374225,5.627309000374225,5.627309000374225,5.627309000374225,54.0,0.0016702854231528208,0.0,6,6,6,6,6,6,6,6,6,6,6
DELETE,/criminal/10030,13,0,33,33.332294384448545,29.613368999889644,38.511724999807484,54.0,0.021713710500986673,0.0,33,34,35,35,38,39,39,39,39,39,39
DELETE,/criminal/10031,3,0,28,27.61149499989794,26.50697399985802,28.79654699972889,54.0,0.005010856269458463,0.0,28,28,29,29,29,29,29,29,29,29,29
DELETE,/criminal/1004,4,0,8.107806999760214,9.166250250018493,8.107806999760214,11.455885999566817,54.0,0.006681141692611283,0.0,9,9,11,11,11,11,11,11,11,11,11
DELETE,/criminal/10048,1,0,4.925936999825353,4.925936999825353,4.925936999825353,4.925936999825353,54.0,0.0016702854231528208,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/10049,11,0,21,21.469568636431095,18.705245000091963,26.16416199998639,54.0,0.01837313965468103,0.0,21,22,22,22,25,26,26,26,26,26,26
DELETE,/criminal/10060,1,0,5.144096000549325,5.144096000549325,5.144096000549325,5.144096000549325,54.0,0.0016702854231528208,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/10061,5,0,14,13.10193999997864,9.163552999780222,17.11060500019812,54.0,0.008351427115764105,0.0,14,14,14,17,17,17,17,17,17,17,17
DELETE,/criminal/10062,2,0,11.421066000366409,12.011959500341618,11.421066000366409,12.602853000316827,54.0,0.0033405708463056416,0.0,13,13,13,13,13,13,13,13,13,13,13
