Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
PUT,/criminal/100,2,0,5,8.547672000077,4.7233249997589155,12.372019000395085,51.0,0.0033450227956909363,0.0,12,12,12,12,12,12,12,12,12,12,12
PUT,/criminal/1000,2,0,5.301939000673883,5.396736500188126,5.301939000673883,5.491533999702369,51.0,0.0033450227956909363,0.0,5,5,5,5,5,5,5,5,5,5,5
PUT,/criminal/10009,3,0,8,9.003171000282842,7.662378000532044,10.892777000663045,51.0,0.0050175341935364045,0.0,8,8,11,11,11,11,11,11,11,11,11
PUT,/criminal/10012,1,0,4.770667000229878,4.770667000229878,4.770667000229878,4.770667000229878,51.0,0.0016725113978454682,0.0,5,5,5,5,5,5,5,5,5,5,5
PUT,/criminal/10013,4,0,11,11.441719000004014,9.745768000357202,12.759569000081683,51.0,0.006690045591381873,0.0,12,12,13,13,13,13,13,13,13,13,13
PUT,/criminal/10017,6,0,13,13.385892333189986,11.500069000248914,15.67215899922303,51.0,0.010035068387072809,0.0,14,14,14,14,16,16,16,16,16,16,16
PUT,/criminal/1002,1,0,5.344208000678918,5.344208000678918,5.344208000678918,5.344208000678918,51.0,0.0016725113978454682,0.0,5,5,5,5,5,5,5,5,5,5,5
PUT,/criminal/10023,1,0,6.195527000272705,6.195527000272705,6.195527000272705,6.195527000272705,51.0,0.0016725113978454682,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/10024,3,0,9,9.471308000077746,8.051059000536043,11.505219000355282,51.0,0.0050175341935364045,0.0,9,9,12,12,12,12,12,12,12,12,12
PUT,/criminal/10027,1,0,5.584307999924931,5.584307999924931,5.584307999924931,5.584307999924931,51.0,0.0016725113978454682,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/10028,5,0,220.0,152.6393885998914,10.659166000550613,295.43844599993463,51.0,0.00836255698922734,0.0,220,220,220,300,300,300,300,300,300,300,300
PUT,/criminal/1003,1,0,5.565773000853369,5.565773000853369,5.565773000853369,5.565773000853369,51.0,0.0016725113978454682,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/10030,2,0,300.0,300.79187399996954,297.35009300020465,304.2336549997344,51.0,0.0033450227956909363,0.0,300,300,300,300,300,300,300,300,300,300,300
PUT,/criminal/10032,19,0,91,87.15916778955464,20.3079520006213,94.14414499951818,51.0,0.0317777165590639,0.0,91,92,93,93,94,94,94,94,94,94,94
PUT,/criminal/1004,5,0,12,12.011654200068733,8.854100999997172,15.305171999898448,51.0,0.00836255698922734,0.0,12,13,13,15,15,15,15,15,15,15,15
PUT,/criminal/10054,2,0,7,6.858329999886337,6.686832000013965,7.029827999758709,51.0,0.0033450227956909363,0.0,7,7,7,7,7,7,7,7,7,7,7
PUT,/criminal/10056,1,0,5.520486999557761,5.520486999557761,5.520486999557761,5.520486999557761,51.0,0.0016725113978454682,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/10057,3,0,8,8.69777566670867,7.4095720001423615,10.467404999872088,51.0,0.0050175341935364045,0.0,8,8,10,10,10,10,10,10,10,10,10
PUT,/criminal/10060,1,0,5.634522000036668,5.634522000036668,5.634522000036668,5.634522000036668,51.0,0.0016725113978454682,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/10061,34,0,61,59.87439032362411,47.61183800019353,72.52745999994659,51.0,0.05686538752674592,0.0,61,64,65,66,68,70,73,73,73,73,73
PUT,/criminal/1009,2,0,12.2472259999995,12.262764499610057,12.2472259999995,12.278302999220614,51.0,0.0033450227956909363,0.0,12,12,12,12,12,12,12,12,12,12,12
PUT,/criminal/10095,1,0,5.693983999663033,5.693983999663033,5.693983999663033,5.693983999663033,51.0,0.0016725113978454682,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/10096,13,0,26,25.930653384560944,20.473673999731545,31.588238000040292,51.0,0.021742648171991088,0.0,26,27,28,30,31,32,32,32,32,32,32
PUT,/criminal/10109,3,0,9.989406000386225,9.475078333404477,8.89560799987521,9.989406000386225,51.0,0.0050175341935364045,0.0,10,10,10,10,10,10,10,10,10,10,10
PUT,/criminal/1011,5,0,11,11.770959599925845,9.717197999634664,13.93203000043286,51.0,0.00836255698922734,0.0,11,13,13,14,14,14,14,14,14,14,14
PUT,/criminal/10112,1,0,5.882598999960464,5.882598999960464,5.882598999960464,5.882598999960464,51.0,0.0016725113978454682,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/10113,4,0,9,10.006919500028744,8.88180200036004,12.493678999817348,51.0,0.006690045591381873,0.0,10,10,12,12,12,12,12,12,12,12,12
PUT,/criminal/10117,6,0,13,13.535637499899167,11.729581000508915,16.927550999753294,51.0,0.010035068387072809,0.0,13,13,13,13,17,17,17,17,17,17,17
PUT,/criminal/10123,4,0,5.1682140001503285,5.854019749904182,5.1682140001503285,6.916683999406814,51.0,0.006690045591381873,0.0,6,6,7,7,7,7,7,7,7,7,7
PUT,/criminal/10127,1,0,5.937883000115107,5.937883000115107,5.937883000115107,5.937883000115107,51.0,0.0016725113978454682,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/10128,2,0,7.281420999788679,7.599398999900586,7.281420999788679,7.917377000012493,51.0,0.0033450227956909363,0.0,8,8,8,8,8,8,8,8,8,8,8
PUT,/criminal/10130,2,0,7,7.098837499597721,6.931391999387415,7.266282999808027,51.0,0.0033450227956909363,0.0,7,7,7,7,7,7,7,7,7,7,7
PUT,/criminal/10132,1,0,5.7136810000884,5.7136810000884,5.7136810000884,5.7136810000884,51.0,0.0016725113978454682,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/10133,5,0,39,34.18682860010449,10.1266140000007,42.99163399991812,51.0,0.00836255698922734,0.0,39,42,42,43,43,43,43,43,43,43,43
