Method,Name,Error,Occurrences
DELETE,/criminal/3309,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
DELETE,/criminal/2509,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
DELETE,/criminal/5909,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
DELETE,/criminal/4309,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
DELETE,/criminal/2160,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
DELETE,/criminal/309,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
DELETE,/criminal/5209,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
DELETE,/criminal/8509,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
DELETE,/criminal/2038,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",1
DELETE,/criminal/9009,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
DELETE,/criminal/3609,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
