Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,/criminal/100,1,0,5.107648999910452,5.107648999910452,5.107648999910452,5.107648999910452,54.0,0.0016695033336088384,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/10009,1,0,3.4776789998431923,3.4776789998431923,3.4776789998431923,3.4776789998431923,54.0,0.0016695033336088384,0.0,3,3,3,3,3,3,3,3,3,3,3
DELETE,/criminal/10010,3,0,9,9.122339333316631,7.799491000241687,11.031641000045056,54.0,0.005008510000826516,0.0,9,9,11,11,11,11,11,11,11,11,11
DELETE,/criminal/10013,3,0,14,14.855088000028141,13.63016899995273,16.6009419999682,54.0,0.005008510000826516,0.0,14,14,17,17,17,17,17,17,17,17,17
DELETE,/criminal/10016,1,0,4.825492999771086,4.825492999771086,4.825492999771086,4.825492999771086,54.0,0.0016695033336088384,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/10017,1,0,5.5369910000990785,5.5369910000990785,5.5369910000990785,5.5369910000990785,54.0,0.0016695033336088384,0.0,6,6,6,6,6,6,6,6,6,6,6
DELETE,/criminal/10018,36,0,92,91.38139416667299,85.90468199963652,96.27528999999413,54.0,0.060102120009918186,0.0,92,92,93,93,94,94,96,96,96,96,96
DELETE,/criminal/1004,5,0,10,10.9071629999562,9.74640599997656,12.947198999881948,54.0,0.008347516668044192,0.0,10,11,11,13,13,13,13,13,13,13,13
DELETE,/criminal/10054,1,0,5.134408999765583,5.134408999765583,5.134408999765583,5.134408999765583,54.0,0.0016695033336088384,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/10055,1,0,4.220935000375903,4.220935000375903,4.220935000375903,4.220935000375903,54.0,0.0016695033336088384,0.0,4,4,4,4,4,4,4,4,4,4,4
DELETE,/criminal/10056,1,0,5.378535000090778,5.378535000090778,5.378535000090778,5.378535000090778,54.0,0.0016695033336088384,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/10057,43,0,72,70.01487302324126,49.95198500000697,78.26412699978391,54.0,0.07178864334518005,0.0,72,73,74,74,75,76,78,78,78,78,78
DELETE,/criminal/10060,9,0,48,48.06290300009803,45.3174190001846,51.61580899994078,54.0,0.015025530002479547,0.0,48,49,49,50,52,52,52,52,52,52,52
DELETE,/criminal/1009,11,0,22,21.708988454602977,17.049909999968804,27.32726400017782,54.0,0.018364536669697222,0.0,22,23,23,23,26,27,27,27,27,27,27
DELETE,/criminal/101,1,0,5.0103679996027495,5.0103679996027495,5.0103679996027495,5.0103679996027495,54.0,0.0016695033336088384,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/10109,1,0,5.890790999728779,5.890790999728779,5.890790999728779,5.890790999728779,54.0,0.0016695033336088384,0.0,6,6,6,6,6,6,6,6,6,6,6
DELETE,/criminal/10110,3,0,9,8.690129666774737,7.659490000150981,9.37529100019674,54.0,0.005008510000826516,0.0,9,9,9,9,9,9,9,9,9,9,9
DELETE,/criminal/10113,3,0,15,15.154546666659977,14.624884999648202,15.582292000090092,54.0,0.005008510000826516,0.0,15,15,16,16,16,16,16,16,16,16,16
DELETE,/criminal/10116,1,0,3.4088899997186672,3.4088899997186672,3.4088899997186672,3.4088899997186672,54.0,0.0016695033336088384,0.0,3,3,3,3,3,3,3,3,3,3,3
DELETE,/criminal/10117,1,0,5.6437590001223725,5.6437590001223725,5.6437590001223725,5.6437590001223725,54.0,0.0016695033336088384,0.0,6,6,6,6,6,6,6,6,6,6,6
DELETE,/criminal/10118,36,0,64,64.29980186118831,54.756549000103405,74.62346400006936,54.0,0.060102120009918186,0.0,65,67,68,68,72,74,75,75,75,75,75
DELETE,/criminal/10154,1,0,5.457953000131965,5.457953000131965,5.457953000131965,5.457953000131965,54.0,0.0016695033336088384,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/10155,1,0,5.437685000288184,5.437685000288184,5.437685000288184,5.437685000288184,54.0,0.0016695033336088384,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/10156,1,0,5.839995999849634,5.839995999849634,5.839995999849634,5.839995999849634,54.0,0.0016695033336088384,0.0,6,6,6,6,6,6,6,6,6,6,6
DELETE,/criminal/10157,3,0,10,10.185362666713141,8.778086999882362,11.8899130002319,54.0,0.005008510000826516,0.0,10,10,12,12,12,12,12,12,12,12,12
DELETE,/criminal/10160,1,0,5.60486700032925,5.60486700032925,5.60486700032925,5.60486700032925,54.0,0.0016695033336088384,0.0,6,6,6,6,6,6,6,6,6,6,6
DELETE,/criminal/10161,48,0,62,61.92476287501828,46.52297800021188,78.30426199961948,54.0,0.08013616001322425,0.0,62,66,71,72,74,75,78,78,78,78,78
DELETE,/criminal/102,1,0,10.80806100026166,10.80806100026166,10.80806100026166,10.80806100026166,54.0,0.0016695033336088384,0.0,11,11,11,11,11,11,11,11,11,11,11
DELETE,/criminal/1020,6,0,12,12.185103666676392,9.665615999892907,14.70673199992234,54.0,0.010017020001653032,0.0,13,13,13,13,15,15,15,15,15,15,15
DELETE,/criminal/10209,1,0,4.8470030001226405,4.8470030001226405,4.8470030001226405,4.8470030001226405,54.0,0.0016695033336088384,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/10210,3,0,9,9.425955333275246,8.050890000049549,11.360223999872687,54.0,0.005008510000826516,0.0,9,9,11,11,11,11,11,11,11,11,11
DELETE,/criminal/10213,3,0,14,15.044027666438827,13.792933999866364,16.921529999763152,54.0,0.005008510000826516,0.0,14,14,17,17,17,17,17,17,17,17,17
DELETE,/criminal/10216,1,0,5.376670999794442,5.376670999794442,5.376670999794442,5.376670999794442,54.0,0.0016695033336088384,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/10217,1,0,4.37756699966485,4.37756699966485,4.37756699966485,4.37756699966485,54.0,0.0016695033336088384,0.0,4,4,4,4,4,4,4,4,4,4,4
DELETE,/criminal/10218,2,0,5.302392999965377,5.423554000117292,5.302392999965377,5.544715000269207,54.0,0.0033390066672176768,0.0,6,6,6,6,6,6,6,6,6,6,6
DELETE,/criminal/10220,5,0,12,14.474861799953942,8.628819000023213,21.951615000034508,54.0,0.008347516668044192,0.0,12,18,18,22,22,22,22,22,22,22,22
DELETE,/criminal/10223,8,0,52,54.08563487509355,49.12678500022594,62.44129700007761,54.0,0.013356026668870707,0.0,53,54,62,62,62,62,62,62,62,62,62
DELETE,/criminal/10225,21,0,48,47.407302714332005,38.22411500004819,54.657905000112805,54.0,0.035059570005785606,0.0,48,49,50,50,53,54,55,55,55,55,55
DELETE,/criminal/10254,1,0,5.4069179996076855,5.4069179996076855,5.4069179996076855,5.4069179996076855,54.0,0.0016695033336088384,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/10255,1,0,5.1545169999371865,5.1545169999371865,5.1545169999371865,5.1545169999371865,54.0,0.0016695033336088384,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/10256,1,0,5.358005999823945,5.358005999823945,5.358005999823945,5.358005999823945,54.0,0.0016695033336088384,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/10257,3,0,6,6.170555666661433,5.605537999599619,6.599262000236195,54.0,0.005008510000826516,0.0,6,6,7,7,7,7,7,7,7,7,7
DELETE,/criminal/1026,1,0,5.239273999904981,5.239273999904981,5.239273999904981,5.239273999904981,54.0,0.0016695033336088384,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/10260,49,0,100.0,104.84861687754514,96.14273299985143,111.53798599980291,54.0,0.08180566334683309,0.0,100,110,110,110,110,110,110,110,110,110,110
DELETE,/criminal/1027,4,0,9,9.449985249943893,8.055171000250994,10.544510999807244,54.0,0.0066780133344353535,0.0,10,10,11,11,11,11,11,11,11,11,11
DELETE,/criminal/1029,1,0,7.264060000125028,7.264060000125028,7.264060000125028,7.264060000125028,54.0,0.0016695033336088384,0.0,7,7,7,7,7,7,7,7,7,7,7
DELETE,/criminal/103,1,0,3.767917999994097,3.767917999994097,3.767917999994097,3.767917999994097,54.0,0.0016695033336088384,0.0,4,4,4,4,4,4,4,4,4,4,4
DELETE,/criminal/10309,1,0,5.713319000278716,5.713319000278716,5.713319000278716,5.713319000278716,54.0,0.0016695033336088384,0.0,6,6,6,6,6,6,6,6,6,6,6
DELETE,/criminal/10310,3,0,4.20205000000351,4.38581266644178,4.20205000000351,4.4907879996571864,54.0,0.005008510000826516,0.0,4,4,4,4,4,4,4,4,4,4,4
DELETE,/criminal/10313,3,0,15,15.606636333207765,14.254543999868474,17.542547999710223,54.0,0.005008510000826516,0.0,15,15,18,18,18,18,18,18,18,18,18
DELETE,/criminal/10316,1,0,4.8254520002046775,4.8254520002046775,4.8254520002046775,4.8254520002046775,54.0,0.0016695033336088384,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/10317,1,0,5.1466719996824395,5.1466719996824395,5.1466719996824395,5.1466719996824395,54.0,0.0016695033336088384,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/10318,2,0,7,6.987987000002249,6.792683000185207,7.183290999819292,54.0,0.0033390066672176768,0.0,7,7,7,7,7,7,7,7,7,7,7
DELETE,/criminal/1032,1,0,5.054180000115593,5.054180000115593,5.054180000115593,5.054180000115593,54.0,0.0016695033336088384,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/10320,36,0,97,92.40577811105292,25.210985999819968,100.1752669999405,54.0,0.060102120009918186,0.0,97,98,98,98,99,99,100,100,100,100,100
DELETE,/criminal/1033,2,0,8,8.505087499770525,7.711781999660161,9.298392999880889,54.0,0.0033390066672176768,0.0,9,9,9,9,9,9,9,9,9,9,9
DELETE,/criminal/1034,1,0,6.73093900013555,6.73093900013555,6.73093900013555,6.73093900013555,54.0,0.0016695033336088384,0.0,7,7,7,7,7,7,7,7,7,7,7
DELETE,/criminal/10356,1,0,5.303194000134681,5.303194000134681,5.303194000134681,5.303194000134681,54.0,0.0016695033336088384,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/10357,3,0,8,8.038079333497686,7.195964999937132,8.56326600023749,54.0,0.005008510000826516,0.0,8,8,9,9,9,9,9,9,9,9,9
DELETE,/criminal/1036,1,0,5.2193370001987205,5.2193370001987205,5.2193370001987205,5.2193370001987205,54.0,0.0016695033336088384,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/10360,3,0,8,8.509983666651047,7.198600000265287,10.333969999919645,54.0,0.005008510000826516,0.0,8,8,10,10,10,10,10,10,10,10,10
DELETE,/criminal/10363,46,0,68,70.68306913051065,60.32758299988927,88.49769900007232,54.0,0.07679715334600656,0.0,68,74,76,77,82,87,88,88,88,88,88
DELETE,/criminal/1037,2,0,6,6.2625169998682395,5.821666999963782,6.7033669997726975,54.0,0.0033390066672176768,0.0,7,7,7,7,7,7,7,7,7,7,7
DELETE,/criminal/1039,5,0,16,15.257377400030236,9.050641999692743,21.70981600011146,54.0,0.008347516668044192,0.0,16,19,19,22,22,22,22,22,22,22,22
DELETE,/criminal/104,1,0,5.23146999967139,5.23146999967139,5.23146999967139,5.23146999967139,54.0,0.0016695033336088384,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/10409,1,0,5.3494500002670975,5.3494500002670975,5.3494500002670975,5.3494500002670975,54.0,0.0016695033336088384,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/1041,5,0,15,15.18009780011198,12.913276000290352,18.56757199993808,54.0,0.008347516668044192,0.0,15,15,15,19,19,19,19,19,19,19,19
DELETE,/criminal/10410,3,0,8,8.225993333174605,7.2739299998829665,8.942993999880855,54.0,0.005008510000826516,0.0,8,8,9,9,9,9,9,9,9,9,9
DELETE,/criminal/10413,3,0,14,14.738857666695063,13.401802999851498,16.55940399996325,54.0,0.005008510000826516,0.0,14,14,17,17,17,17,17,17,17,17,17
DELETE,/criminal/10416,1,0,5.272527000215632,5.272527000215632,5.272527000215632,5.272527000215632,54.0,0.0016695033336088384,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/10417,1,0,4.590254000049754,4.590254000049754,4.590254000049754,4.590254000049754,54.0,0.0016695033336088384,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/10418,2,0,6.497901999864553,6.697900500057585,6.497901999864553,6.897899000250618,54.0,0.0033390066672176768,0.0,7,7,7,7,7,7,7,7,7,7,7
DELETE,/criminal/10420,36,0,60,59.593906444446375,48.465061000115384,70.55797900011385,54.0,0.060102120009918186,0.0,61,62,63,63,67,69,71,71,71,71,71
DELETE,/criminal/10456,1,0,5.495964000147069,5.495964000147069,5.495964000147069,5.495964000147069,54.0,0.0016695033336088384,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/10457,3,0,110.0,75.37376400023277,7.119713000065531,110.73817300029987,54.0,0.005008510000826516,0.0,110,110,110,110,110,110,110,110,110,110,110
