Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
PUT,/criminal/10,1,0,6.756624999979977,6.756624999979977,6.756624999979977,6.756624999979977,51.0,0.0016722854488472121,0.0,7,7,7,7,7,7,7,7,7,7,7
PUT,/criminal/100,1,0,5.4359069999918574,5.4359069999918574,5.4359069999918574,5.4359069999918574,51.0,0.0016722854488472121,0.0,5,5,5,5,5,5,5,5,5,5,5
PUT,/criminal/1000,1,0,5.673239999850921,5.673239999850921,5.673239999850921,5.673239999850921,51.0,0.0016722854488472121,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/10009,30,0,57,56.41319263334784,43.9521009998316,65.73663699964527,51.0,0.050168563465416365,0.0,58,59,60,61,64,65,66,66,66,66,66
PUT,/criminal/1001,1,0,5.671106999898257,5.671106999898257,5.671106999898257,5.671106999898257,51.0,0.0016722854488472121,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/1002,1,0,5.685312999958114,5.685312999958114,5.685312999958114,5.685312999958114,51.0,0.0016722854488472121,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/1003,1,0,5.597058000148536,5.597058000148536,5.597058000148536,5.597058000148536,51.0,0.0016722854488472121,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/10039,2,0,6.017550999786181,8.579059999874517,6.017550999786181,11.140568999962852,51.0,0.0033445708976944243,0.0,11,11,11,11,11,11,11,11,11,11,11
PUT,/criminal/1004,5,0,7,7.409340599997449,6.645597999977326,8.164085000089472,51.0,0.008361427244236061,0.0,7,8,8,8,8,8,8,8,8,8,8
PUT,/criminal/10040,3,0,9,9.471088000130598,8.339019000231929,11.053276999973605,51.0,0.005016856346541637,0.0,9,9,11,11,11,11,11,11,11,11,11
PUT,/criminal/10044,32,0,52,51.53078859375171,42.33597600023131,61.240455000188376,51.0,0.05351313436311079,0.0,52,54,56,56,58,60,61,61,61,61,61
PUT,/criminal/10076,1,0,5.55926900005943,5.55926900005943,5.55926900005943,5.55926900005943,51.0,0.0016722854488472121,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/10077,32,0,93,92.28240184376091,81.22725600014746,95.61102699990442,51.0,0.05351313436311079,0.0,93,94,94,94,94,95,96,96,96,96,96
PUT,/criminal/1009,3,0,8.111235999876953,8.829775333272968,8.111235999876953,10.029128999804016,51.0,0.005016856346541637,0.0,8,8,10,10,10,10,10,10,10,10,10
PUT,/criminal/101,1,0,5.443722000109119,5.443722000109119,5.443722000109119,5.443722000109119,51.0,0.0016722854488472121,0.0,5,5,5,5,5,5,5,5,5,5,5
PUT,/criminal/10109,4,0,11,13.09836824998456,9.303964000082487,16.63575899965508,51.0,0.0066891417953888485,0.0,15,15,17,17,17,17,17,17,17,17,17
PUT,/criminal/10112,4,0,6,6.7617685000413985,5.5218500001501525,8.105995999812876,51.0,0.0066891417953888485,0.0,7,7,8,8,8,8,8,8,8,8,8
PUT,/criminal/10117,22,0,22,21.029239772691323,14.899079000315396,25.07740000010017,51.0,0.03679027987463867,0.0,22,22,23,23,24,24,25,25,25,25,25
PUT,/criminal/1012,3,0,5.221376000008604,5.30190666662141,5.221376000008604,5.371626999931323,51.0,0.005016856346541637,0.0,5,5,5,5,5,5,5,5,5,5,5
PUT,/criminal/10139,37,0,100.0,100.68447851350552,84.47703000001638,104.82577399989168,51.0,0.06187456160734685,0.0,100,100,100,100,100,100,100,100,100,100,100
PUT,/criminal/1015,9,0,10,10.19476122228803,8.527724000032322,12.793995000038194,51.0,0.015050569039624909,0.0,10,10,11,11,13,13,13,13,13,13,13
PUT,/criminal/10176,1,0,6.140369999684481,6.140369999684481,6.140369999684481,6.140369999684481,51.0,0.0016722854488472121,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/10177,1,0,5.94205100014733,5.94205100014733,5.94205100014733,5.94205100014733,51.0,0.0016722854488472121,0.0,6,6,6,6,6,6,6,6,6,6,6
