Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,/criminal/100,1,0,3.685206000227481,3.685206000227481,3.685206000227481,3.685206000227481,54.0,0.001113299533431058,0.0,4,4,4,4,4,4,4,4,4,4,4
DELETE,/criminal/1000,1,0,4.251877000569948,4.251877000569948,4.251877000569948,4.251877000569948,54.0,0.001113299533431058,0.0,4,4,4,4,4,4,4,4,4,4,4
DELETE,/criminal/10001,82,0,66,67.4504950367874,47.94040600245353,79.19462700010627,54.0,0.09129056174134675,0.0,67,69,72,74,76,77,79,79,79,79,79
DELETE,/criminal/10002,18,0,52,52.211368166657245,49.15726400213316,55.99531099869637,54.0,0.020039391601759042,0.0,52,53,53,54,55,56,56,56,56,56,56
DELETE,/criminal/1001,36,0,28,27.860430472173903,23.202220998427947,33.90123300050618,54.0,0.040078783203518084,0.0,28,29,30,30,33,33,34,34,34,34,34
DELETE,/criminal/101,1,0,4.276212999684503,4.276212999684503,4.276212999684503,4.276212999684503,54.0,0.001113299533431058,0.0,4,4,4,4,4,4,4,4,4,4,4
DELETE,/criminal/10101,100,0,67,66.82195950997993,53.34091300028376,77.8519729974505,54.0,0.11132995334310579,0.0,67,70,72,73,75,76,77,78,78,78,78
DELETE,/criminal/1018,1,0,11.041964000469306,11.041964000469306,11.041964000469306,11.041964000469306,54.0,0.001113299533431058,0.0,11,11,11,11,11,11,11,11,11,11,11
DELETE,/criminal/102,1,0,4.409121000207961,4.409121000207961,4.409121000207961,4.409121000207961,54.0,0.001113299533431058,0.0,4,4,4,4,4,4,4,4,4,4,4
DELETE,/criminal/10201,6,0,7,7.059604833557387,6.191747001139447,8.01989899991895,54.0,0.006679797200586347,0.0,7,7,8,8,8,8,8,8,8,8,8
DELETE,/criminal/10204,2,0,11.268487996858312,11.655446998702246,11.268487996858312,12.04240600054618,54.0,0.002226599066862116,0.0,12,12,12,12,12,12,12,12,12,12,12
DELETE,/criminal/10206,4,0,15,15.328723749007622,14.627543998358306,16.028515998186776,54.0,0.004453198133724232,0.0,16,16,16,16,16,16,16,16,16,16,16
DELETE,/criminal/10207,9,0,23,26.06444788883285,20.630068000173196,32.654089998686686,54.0,0.010019695800879521,0.0,23,30,31,32,33,33,33,33,33,33,33
DELETE,/criminal/10209,7,0,49,48.88166514241935,47.25620599856484,50.48651099787094,54.0,0.007793096734017405,0.0,49,49,50,50,50,50,50,50,50,50,50
DELETE,/criminal/10213,13,0,56,55.660767922885356,43.99656599707669,59.51117099903058,54.0,0.014472893934603753,0.0,56,57,58,58,59,60,60,60,60,60,60
DELETE,/criminal/10218,21,0,59,58.68128309555773,49.71903499972541,63.76349800120806,54.0,0.023379290202052216,0.0,59,60,61,62,63,63,64,64,64,64,64
DELETE,/criminal/10222,38,0,47,47.12410597369997,42.74455300037516,51.90364399823011,54.0,0.0423053822703802,0.0,47,49,49,50,51,51,52,52,52,52,52
DELETE,/criminal/1029,1,0,6.451584000387811,6.451584000387811,6.451584000387811,6.451584000387811,54.0,0.001113299533431058,0.0,6,6,6,6,6,6,6,6,6,6,6
DELETE,/criminal/103,1,0,4.000206001364859,4.000206001364859,4.000206001364859,4.000206001364859,54.0,0.001113299533431058,0.0,4,4,4,4,4,4,4,4,4,4,4
DELETE,/criminal/10301,100,0,75,79.61908490015048,64.68196700006956,105.32264300127281,54.0,0.11132995334310579,0.0,75,85,88,97,100,100,100,110,110,110,110
DELETE,/criminal/1039,1,0,2.858178999304073,2.858178999304073,2.858178999304073,2.858178999304073,54.0,0.001113299533431058,0.0,3,3,3,3,3,3,3,3,3,3,3
DELETE,/criminal/104,1,0,3.4382450012344634,3.4382450012344634,3.4382450012344634,3.4382450012344634,54.0,0.001113299533431058,0.0,3,3,3,3,3,3,3,3,3,3,3
DELETE,/criminal/1040,1,0,3.1864929987932555,3.1864929987932555,3.1864929987932555,3.1864929987932555,54.0,0.001113299533431058,0.0,3,3,3,3,3,3,3,3,3,3,3
DELETE,/criminal/10401,15,0,12,12.432838333188556,11.582545997953275,13.46174199716188,54.0,0.01669949300146587,0.0,12,12,13,13,13,13,13,13,13,13,13
DELETE,/criminal/1041,1,0,3.1561960004182765,3.1561960004182765,3.1561960004182765,3.1561960004182765,54.0,0.001113299533431058,0.0,3,3,3,3,3,3,3,3,3,3,3
