Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
PUT,/criminal/10,1,0,6.641148000198882,6.641148000198882,6.641148000198882,6.641148000198882,51.0,0.001113223574445325,0.0,7,7,7,7,7,7,7,7,7,7,7
PUT,/criminal/100,1,0,5.859626000528806,5.859626000528806,5.859626000528806,5.859626000528806,51.0,0.001113223574445325,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/1000,1,0,4.371029999674647,4.371029999674647,4.371029999674647,4.371029999674647,51.0,0.001113223574445325,0.0,4,4,4,4,4,4,4,4,4,4,4
PUT,/criminal/10001,10,0,9,8.851241299817048,8.196198999939952,9.649337998780538,51.0,0.01113223574445325,0.0,9,9,9,10,10,10,10,10,10,10,10
PUT,/criminal/1001,36,0,34,33.760720360937235,18.376971000179765,39.19578099885257,51.0,0.0400760486800317,0.0,34,36,37,37,38,39,39,39,39,39,39
PUT,/criminal/10011,77,0,59,59.565640246889075,41.87524600092729,67.09345000126632,51.0,0.08571821523229002,0.0,59,60,61,61,63,65,67,67,67,67,67
PUT,/criminal/10012,13,0,51,51.63498307662779,49.44441100087715,54.663397999320296,51.0,0.014471906467789225,0.0,51,53,53,54,54,55,55,55,55,55,55
PUT,/criminal/101,2,0,8,11.711782500242407,7.857975000661099,15.565589999823715,51.0,0.00222644714889065,0.0,16,16,16,16,16,16,16,16,16,16,16
PUT,/criminal/10101,88,0,67,66.87885128400757,48.90363000049547,77.62183300110337,51.0,0.0979636745511886,0.0,67,69,71,72,74,76,77,78,78,78,78
PUT,/criminal/10102,12,0,50,50.792405666470586,47.90529099955165,53.825609998966684,51.0,0.013358682893343899,0.0,51,52,53,53,53,54,54,54,54,54,54
PUT,/criminal/10201,1,0,4.247249000400188,4.247249000400188,4.247249000400188,4.247249000400188,51.0,0.001113223574445325,0.0,4,4,4,4,4,4,4,4,4,4,4
PUT,/criminal/10202,21,0,34,59.229340857287056,17.428165001547313,106.1522750005679,51.0,0.023377695063351824,0.0,34,82,83,100,100,110,110,110,110,110,110
PUT,/criminal/10205,33,0,87,86.70019909087304,79.61849000093935,95.13217200037616,51.0,0.03673637795669572,0.0,87,89,90,91,93,94,95,95,95,95,95
PUT,/criminal/10213,45,0,84,83.75745888903718,79.64514900049835,89.13879600004293,51.0,0.050095060850039626,0.0,84,85,86,86,88,88,89,89,89,89,89
