Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1611382559,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1611382560,93,,Aggregated,0.000000,0.000000,6,6,6,6,6,15,45,53,53,53,53,92,0,6,7.396181021763566,4.557598998871981,53.191132999927504,51.0
1611382561,100,,Aggregated,0.000000,0.000000,6,6,6,6,6,7,26,45,53,53,53,192,0,6,6.2427515833860525,3.045870000278228,53.191132999927504,51.0
1611382562,100,,Aggregated,88.000000,0.000000,5,6,6,6,6,8,15,37,53,53,53,292,0,5,5.9081238698862055,3.045870000278228,53.191132999927504,51.0
1611382563,100,,Aggregated,94.000000,0.000000,5,6,6,6,7,16,28,33,53,53,53,392,0,5,6.4556364592015,3.045870000278228,53.191132999927504,51.0
1611382564,100,,Aggregated,95.666667,0.000000,5,5,6,6,8,14,26,31,53,53,53,492,0,5,6.207342274418755,3.045870000278228,53.191132999927504,51.0
1611382565,100,,Aggregated,96.750000,0.000000,5,5,6,6,8,13,26,31,53,53,53,592,0,5,6.006974119959769,3.045870000278228,53.191132999927504,51.0
1611382566,100,,Aggregated,97.200000,0.000000,5,5,6,6,11,18,24,29,53,53,53,692,0,5,6.1729032008717875,2.9391009993560147,53.191132999927504,51.0
1611382567,100,,Aggregated,97.666667,0.000000,5,5,6,6,13,19,22,28,53,53,53,792,0,5,6.351784978542495,2.9391009993560147,53.191132999927504,51.0
1611382568,100,,Aggregated,98.000000,0.000000,5,5,6,6,16,20,24,26,53,53,53,892,0,5,6.622882905831817,2.8119520011387067,53.191132999927504,51.0
1611382569,100,,Aggregated,98.125000,0.000000,5,5,6,6,18,22,28,30,53,53,53,992,0,5,7.009091025188061,2.8119520011387067,53.191132999927504,51.0
1611382570,100,,Aggregated,98.333333,0.000000,5,5,6,6,20,28,34,37,45,53,53,1092,0,5,7.744246157485261,2.8119520011387067,53.191132999927504,51.0
1611382571,100,,Aggregated,98.400000,0.000000,5,5,6,9,23,29,34,37,45,53,53,1192,0,5,8.248816061214962,2.8119520011387067,53.191132999927504,51.0
1611382572,100,,Aggregated,99.600000,0.000000,5,5,6,12,27,33,37,39,45,53,53,1292,0,5,9.043008756947213,2.8119520011387067,53.191132999927504,51.0
1611382573,100,,Aggregated,99.500000,0.000000,5,5,7,18,30,38,50,53,56,56,56,1392,0,5,10.4201806810153,2.8119520011387067,55.877049000628176,51.0
1611382574,100,,Aggregated,99.600000,0.000000,5,6,11,20,33,38,50,53,56,56,56,1492,0,5,10.993447144748604,2.8119520011387067,55.877049000628176,51.0
1611382575,100,,Aggregated,99.500000,0.000000,5,6,17,24,36,49,53,54,56,57,57,1592,0,5,12.418834540805125,2.8119520011387067,57.18057800004317,51.0
1611382576,100,,Aggregated,99.600000,0.000000,5,6,20,28,39,49,53,54,56,57,57,1692,0,5,13.414359439109909,2.8119520011387067,57.18057800004317,51.0
1611382577,100,,Aggregated,99.600000,0.000000,5,7,25,32,47,53,56,58,61,61,61,1792,0,5,15.05198961327027,2.8119520011387067,61.09907199970621,51.0
1611382578,100,,Aggregated,99.500000,0.000000,5,13,29,35,49,53,56,58,61,61,61,1892,0,5,16.378677091954515,2.7838890000566607,61.09907199970621,51.0
1611382579,100,,Aggregated,99.600000,0.000000,5,19,34,41,53,58,82,86,93,94,94,1992,0,5,19.138224541658168,2.7838890000566607,93.8196049992257,51.0
1611382580,100,,Aggregated,99.500000,0.000000,5,22,36,45,55,75,82,86,93,94,94,2092,0,5,20.79103828824011,2.7838890000566607,93.8196049992257,51.0
1611382582,100,,Aggregated,91.700000,0.000000,5,26,37,45,55,74,82,86,93,94,94,2192,0,5,21.41981990831087,2.7838890000566607,93.8196049992257,51.0
1611382583,100,,Aggregated,91.200000,0.000000,6,29,38,44,54,73,82,86,93,94,94,2292,0,6,21.963011273135596,2.7838890000566607,93.8196049992257,51.0
1611382584,100,,Aggregated,90.900000,0.000000,6,33,41,48,58,77,84,87,93,94,94,2392,0,6,23.94128463128099,2.7838890000566607,93.8196049992257,51.0
1611382585,100,,Aggregated,90.900000,0.000000,11,35,46,51,66,77,84,87,93,94,94,2492,0,11,25.505938103940185,2.7838890000566607,93.8196049992257,51.0
1611382586,100,,Aggregated,91.000000,0.000000,15,36,47,52,66,76,84,87,93,94,94,2592,0,15,26.290716398926932,2.7838890000566607,93.8196049992257,51.0
1611382587,100,,Aggregated,91.000000,0.000000,17,37,47,51,66,76,83,87,93,94,94,2692,0,17,26.54873043611236,2.7838890000566607,93.8196049992257,51.0
1611382588,100,,Aggregated,91.000000,0.000000,19,38,48,52,65,75,83,87,93,94,94,2792,0,19,27.29419950537443,2.7838890000566607,93.8196049992257,51.0
1611382589,100,,Aggregated,91.100000,0.000000,20,39,48,51,64,75,83,87,93,94,94,2892,0,20,27.50002310546531,2.7838890000566607,93.8196049992257,51.0
1611382590,100,,Aggregated,91.100000,0.000000,23,41,49,52,65,76,84,87,93,94,94,2992,0,23,28.643894792782294,2.7838890000566607,93.8196049992257,51.0
1611382591,100,,Aggregated,91.200000,0.000000,25,42,49,52,65,76,84,87,92,94,94,3092,0,25,29.095401546899144,2.7838890000566607,93.8196049992257,51.0
1611382592,100,,Aggregated,99.100000,0.000000,28,44,50,54,65,75,84,87,92,94,94,3192,0,28,29.933969155080145,2.7838890000566607,93.8196049992257,51.0
1611382593,100,,Aggregated,99.600000,0.000000,29,44,50,54,65,75,84,87,92,94,94,3292,0,29,30.376046457475645,2.7838890000566607,93.8196049992257,51.0
1611382594,100,,Aggregated,100.000000,0.000000,32,46,51,54,65,75,84,87,92,94,94,3392,0,32,31.127905434849396,2.7838890000566607,93.8196049992257,51.0
1611382595,100,,Aggregated,100.000000,0.000000,33,47,52,54,64,74,83,87,92,94,94,3492,0,33,31.563874925260652,2.7838890000566607,93.8196049992257,51.0
1611382597,100,,Aggregated,100.000000,0.000000,34,48,53,56,67,75,85,88,94,96,96,3592,0,34,32.667892307354364,2.7838890000566607,95.85055600109627,51.0
1611382598,100,,Aggregated,93.000000,0.000000,36,49,54,57,69,78,85,89,94,96,96,3692,0,36,33.75102338407488,2.7838890000566607,95.85055600109627,51.0
1611382599,100,,Aggregated,90.000000,0.000000,37,50,55,59,70,78,86,89,94,96,96,3792,0,37,34.737556690140096,2.7838890000566607,95.85055600109627,51.0
1611382600,100,,Aggregated,90.000000,0.000000,38,51,56,60,69,78,86,89,94,96,96,3892,0,38,35.15339546480316,2.7838890000566607,95.85055600109627,51.0
1611382601,100,,Aggregated,90.000000,0.000000,38,51,56,60,69,78,86,89,94,96,96,3992,0,38,35.456764163080344,2.7838890000566607,95.85055600109627,51.0
1611382602,100,,Aggregated,90.000000,0.000000,39,51,56,60,70,79,86,89,94,96,96,4092,0,39,35.8709072761538,2.7838890000566607,95.85055600109627,51.0
1611382603,100,,Aggregated,90.000000,0.000000,39,52,56,60,70,79,86,89,94,96,96,4192,0,39,36.1742114873591,2.7838890000566607,95.85055600109627,51.0
1611382604,100,,Aggregated,90.000000,0.000000,40,52,57,61,70,80,87,89,94,96,96,4292,0,40,36.61304251328441,2.7838890000566607,95.85055600109627,51.0
1611382605,100,,Aggregated,90.000000,0.000000,40,52,57,61,70,79,87,89,94,96,96,4392,0,40,36.78307301571228,2.7838890000566607,95.85055600109627,51.0
1611382606,100,,Aggregated,90.000000,0.000000,41,52,57,61,70,79,86,89,94,96,96,4492,0,41,36.914147277605416,2.7838890000566607,95.85055600109627,51.0
1611382607,100,,Aggregated,90.000000,0.000000,41,52,58,61,70,79,86,89,94,96,96,4592,0,41,37.169591025695965,2.7838890000566607,95.85055600109627,51.0
1611382608,100,,Aggregated,100.000000,0.000000,41,52,58,61,70,79,86,89,94,96,96,4692,0,41,37.28192624978738,2.7838890000566607,95.85055600109627,51.0
1611382609,100,,Aggregated,100.000000,0.000000,40,52,57,61,70,79,86,89,94,96,96,4792,0,40,37.25437593489183,2.7838890000566607,95.85055600109627,51.0
1611382610,100,,Aggregated,94.900000,0.000000,40,52,57,61,71,79,86,89,94,96,96,4892,0,40,37.414732969134114,2.7838890000566607,95.85055600109627,51.0
1611382611,100,,Aggregated,94.700000,0.000000,41,52,57,61,71,79,86,89,94,96,96,4992,0,41,37.591229729768415,2.7838890000566607,95.85055600109627,51.0
1611382613,100,,Aggregated,94.600000,0.000000,40,51,57,61,70,79,86,89,94,96,96,5092,0,40,37.5674451537697,2.7838890000566607,95.85055600109627,51.0
1611382614,100,,Aggregated,91.500000,0.000000,41,51,57,60,70,79,85,89,94,96,96,5192,0,41,37.585293108819485,2.7838890000566607,95.85055600109627,51.0
1611382615,100,,Aggregated,90.000000,0.000000,41,51,56,60,70,78,85,88,94,96,96,5292,0,41,37.525908884352816,2.7838890000566607,95.85055600109627,51.0
1611382616,100,,Aggregated,90.000000,0.000000,41,51,56,60,70,78,85,88,94,96,96,5392,0,41,37.57341952225273,2.7838890000566607,95.85055600109627,51.0
1611382617,100,,Aggregated,90.000000,0.000000,41,51,56,60,69,78,85,88,94,96,96,5492,0,41,37.70424238018644,2.7838890000566607,95.85055600109627,51.0
1611382618,100,,Aggregated,90.000000,0.000000,41,51,57,60,69,78,85,88,94,96,96,5592,0,41,37.94295903021938,2.7838890000566607,95.85055600109627,51.0
