Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,/criminal/10,1,0,3.5368759999983013,3.5368759999983013,3.5368759999983013,3.5368759999983013,54.0,0.001112992539252434,0.0,4,4,4,4,4,4,4,4,4,4,4
DELETE,/criminal/100,1,0,6.231997000213596,6.231997000213596,6.231997000213596,6.231997000213596,54.0,0.001112992539252434,0.0,6,6,6,6,6,6,6,6,6,6,6
DELETE,/criminal/1000,1,0,62.73843499911891,62.73843499911891,62.73843499911891,62.73843499911891,54.0,0.001112992539252434,0.0,63,63,63,63,63,63,63,63,63,63,63
DELETE,/criminal/10010,13,0,13,14.42129038472418,11.197005000212812,18.853225999919232,54.0,0.014468903010281644,0.0,13,16,17,18,18,19,19,19,19,19,19
DELETE,/criminal/10018,14,0,59,54.901141571593016,44.27226300140319,62.01914899975236,54.0,0.015581895549534078,0.0,59,60,61,61,62,62,62,62,62,62,62
DELETE,/criminal/10023,62,0,51,51.85914740310005,44.60278099941206,62.435026999082766,54.0,0.06900553743365091,0.0,51,53,55,58,60,61,62,62,62,62,62
DELETE,/criminal/10099,29,0,32,33.5536920346981,19.526635000147508,48.40538400094374,54.0,0.032276783638320594,0.0,32,33,45,46,48,48,48,48,48,48,48
DELETE,/criminal/101,2,0,6.221196999831591,6.674304499938444,6.221196999831591,7.127412000045297,54.0,0.002225985078504868,0.0,7,7,7,7,7,7,7,7,7,7,7
DELETE,/criminal/10105,21,0,54,56.506586857375666,49.06855400076893,64.98007800109917,54.0,0.023372843324301118,0.0,54,62,63,63,64,65,65,65,65,65,65
DELETE,/criminal/10119,30,0,56,55.93239253333498,50.180504000309156,61.13280099998519,54.0,0.03338977617757303,0.0,56,57,59,59,60,61,61,61,61,61,61
DELETE,/criminal/10128,20,0,42,42.57583274975332,40.31847699843638,45.939261000967235,54.0,0.022259850785048683,0.0,42,43,44,44,45,46,46,46,46,46,46
DELETE,/criminal/10199,20,0,22,21.953462800138368,12.038789000143879,26.018147000286262,54.0,0.022259850785048683,0.0,22,24,24,25,26,26,26,26,26,26,26
DELETE,/criminal/102,1,0,6.093218000387424,6.093218000387424,6.093218000387424,6.093218000387424,54.0,0.001112992539252434,0.0,6,6,6,6,6,6,6,6,6,6,6
DELETE,/criminal/10200,9,0,17,17.297688222040758,14.793651998843416,19.642260998807615,54.0,0.010016932853271907,0.0,17,18,18,19,20,20,20,20,20,20,20
DELETE,/criminal/1021,1,0,61.55812699944363,61.55812699944363,61.55812699944363,61.55812699944363,54.0,0.001112992539252434,0.0,62,62,62,62,62,62,62,62,62,62,62
DELETE,/criminal/10228,13,0,11,11.314171384723382,9.870373000012478,12.770597999406164,54.0,0.014468903010281644,0.0,11,12,12,12,12,13,13,13,13,13,13
DELETE,/criminal/10237,2,0,44,44.01988049994543,43.70203599864908,44.33772500124178,54.0,0.002225985078504868,0.0,44,44,44,44,44,44,44,44,44,44,44
