Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1611375362,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1611375363,91,,Aggregated,0.000000,0.000000,5,5,5,5,6,6,11,22,22,22,22,91,0,5,5.472007659321477,3.38135499987402,22.422652000386734,54.0
1611375364,100,,Aggregated,0.000000,0.000000,5,5,5,5,6,6,7,11,22,22,22,190,0,5,5.024477405286713,3.38135499987402,22.422652000386734,54.0
1611375365,100,,Aggregated,87.000000,0.000000,4,5,5,5,6,7,14,16,58,58,58,290,0,4,5.19262744479608,2.767366999250953,58.220913999321056,54.0
1611375366,100,,Aggregated,93.000000,0.000000,4,5,5,5,6,13,20,22,58,58,58,390,0,4,5.547658776889036,2.767366999250953,58.220913999321056,54.0
1611375367,100,,Aggregated,95.333333,0.000000,4,5,5,5,7,14,20,21,58,58,58,490,0,4,5.663979283629172,2.767366999250953,58.220913999321056,54.0
1611375368,100,,Aggregated,96.250000,0.000000,4,5,5,5,13,20,36,40,58,58,58,590,0,4,6.599075433883103,2.767366999250953,58.220913999321056,54.0
1611375369,100,,Aggregated,97.000000,0.000000,4,5,5,5,15,20,35,39,58,58,58,690,0,4,6.779572627506834,2.767366999250953,58.220913999321056,54.0
1611375370,100,,Aggregated,97.333333,0.000000,4,5,5,5,18,32,37,39,58,58,58,790,0,4,7.486482682246258,2.767366999250953,58.220913999321056,54.0
1611375371,100,,Aggregated,97.714286,0.000000,4,5,5,6,18,30,37,39,58,58,58,890,0,4,7.58179988423037,2.767366999250953,58.220913999321056,54.0
1611375372,100,,Aggregated,97.875000,0.000000,4,5,5,7,20,38,66,68,71,71,71,990,0,4,9.565968940377287,2.7535709996300284,71.37189300010505,54.0
1611375373,100,,Aggregated,98.111111,0.000000,4,5,5,14,35,45,65,68,71,71,71,1090,0,4,10.900342878866208,2.7535709996300284,71.37189300010505,54.0
1611375374,100,,Aggregated,98.200000,0.000000,4,5,10,18,43,49,68,71,89,91,91,1190,0,4,12.714531150396862,2.7535709996300284,90.67847799997253,54.0
1611375375,100,,Aggregated,99.500000,0.000000,5,5,18,34,46,66,86,110,180,190,190,1290,0,5,16.38259579224039,2.7535709996300284,187.86204300158715,54.0
1611375376,100,,Aggregated,99.500000,0.000000,5,7,22,37,51,72,86,110,180,190,190,1390,0,5,18.176330933802223,2.7535709996300284,187.86204300158715,54.0
1611375377,100,,Aggregated,99.500000,0.000000,5,15,29,37,49,71,85,110,180,190,190,1490,0,5,18.689129046299133,2.7535709996300284,187.86204300158715,54.0
1611375378,100,,Aggregated,98.700000,0.000000,5,17,30,36,48,70,85,110,180,190,190,1590,0,5,18.79262025786203,2.7535709996300284,187.86204300158715,54.0
1611375379,100,,Aggregated,98.000000,0.000000,5,18,31,37,48,69,84,96,180,190,190,1690,0,5,19.25619144733863,2.7535709996300284,187.86204300158715,54.0
1611375380,100,,Aggregated,97.900000,0.000000,5,20,32,39,49,68,84,92,180,190,190,1790,0,5,19.889624501678423,2.7535709996300284,187.86204300158715,54.0
1611375381,100,,Aggregated,97.900000,0.000000,6,21,32,38,49,68,81,91,180,190,190,1890,0,6,20.02294467142867,2.7535709996300284,187.86204300158715,54.0
1611375382,100,,Aggregated,97.700000,0.000000,6,22,31,37,48,67,81,90,180,190,190,1990,0,6,19.899592026631947,2.7489320000313455,187.86204300158715,54.0
1611375383,100,,Aggregated,97.700000,0.000000,7,21,29,36,47,66,80,89,170,190,190,2090,0,7,19.664370702870063,2.7489320000313455,187.86204300158715,54.0
1611375384,100,,Aggregated,97.800000,0.000000,9,23,32,38,49,65,79,89,170,190,190,2190,0,9,20.456411809132142,2.7489320000313455,187.86204300158715,54.0
1611375386,100,,Aggregated,95.600000,0.000000,11,24,34,39,50,65,79,88,170,190,190,2290,0,11,21.0714965785978,2.7489320000313455,187.86204300158715,54.0
1611375387,100,,Aggregated,90.900000,0.000000,12,25,35,40,50,64,78,88,170,190,190,2390,0,12,21.37097406986914,2.7489320000313455,187.86204300158715,54.0
1611375388,100,,Aggregated,90.900000,0.000000,13,26,35,39,49,63,78,87,170,190,190,2490,0,13,21.5397511546096,2.7489320000313455,187.86204300158715,54.0
1611375389,100,,Aggregated,91.800000,0.000000,14,29,37,43,57,68,81,89,170,190,190,2590,0,14,23.213368389565666,2.7489320000313455,187.86204300158715,54.0
1611375390,100,,Aggregated,92.500000,0.000000,16,31,41,45,60,68,80,89,170,190,190,2690,0,16,24.5030760438584,2.7489320000313455,187.86204300158715,54.0
1611375391,100,,Aggregated,92.700000,0.000000,18,33,42,45,59,67,79,88,170,190,190,2790,0,18,24.986159617914524,2.7489320000313455,187.86204300158715,54.0
1611375392,100,,Aggregated,92.700000,0.000000,18,34,42,46,59,67,79,88,170,190,190,2890,0,18,25.252873097919462,2.7489320000313455,187.86204300158715,54.0
1611375393,100,,Aggregated,93.000000,0.000000,19,34,41,45,58,67,78,88,170,190,190,2990,0,19,25.493352106017344,2.7489320000313455,187.86204300158715,54.0
1611375394,100,,Aggregated,93.000000,0.000000,20,34,41,45,58,66,78,88,160,190,190,3090,0,20,25.653530611326314,2.7489320000313455,187.86204300158715,54.0
1611375395,100,,Aggregated,93.000000,0.000000,21,35,42,46,59,68,78,87,160,190,190,3190,0,21,26.636651263631784,2.7489320000313455,187.86204300158715,54.0
1611375396,100,,Aggregated,95.200000,0.000000,23,35,42,46,59,68,78,87,160,190,190,3290,0,23,26.90940392400732,2.7489320000313455,187.86204300158715,54.0
1611375397,100,,Aggregated,100.000000,0.000000,24,36,44,48,61,68,78,87,160,190,190,3390,0,24,27.858470150733147,2.7489320000313455,187.86204300158715,54.0
1611375398,100,,Aggregated,100.000000,0.000000,26,38,45,50,61,68,77,87,160,190,190,3490,0,26,28.605805982231082,2.7489320000313455,187.86204300158715,54.0
1611375399,100,,Aggregated,100.000000,0.000000,27,39,46,50,60,68,77,86,160,190,190,3590,0,27,28.95951802728883,2.7489320000313455,187.86204300158715,54.0
1611375400,100,,Aggregated,100.000000,0.000000,29,40,46,50,60,67,77,86,160,190,190,3690,0,29,29.386368875601402,2.7489320000313455,187.86204300158715,54.0
1611375401,100,,Aggregated,100.000000,0.000000,30,41,48,52,62,71,88,96,160,190,190,3790,0,30,30.69454583244729,2.7489320000313455,187.86204300158715,54.0
1611375402,100,,Aggregated,100.000000,0.000000,31,42,49,54,63,71,87,96,160,190,190,3890,0,31,31.48689391284728,2.7489320000313455,187.86204300158715,54.0
1611375404,100,,Aggregated,90.000000,0.000000,32,43,50,54,63,71,87,96,160,190,190,3990,0,32,31.945525969164272,2.7489320000313455,187.86204300158715,54.0
1611375405,100,,Aggregated,90.000000,0.000000,32,44,51,54,63,71,87,96,160,190,190,4090,0,32,32.176169521014295,2.7489320000313455,187.86204300158715,54.0
1611375406,100,,Aggregated,90.000000,0.000000,32,44,50,54,62,70,86,96,160,190,190,4190,0,32,32.24100208495521,2.7489320000313455,187.86204300158715,54.0
1611375407,100,,Aggregated,90.000000,0.000000,32,43,50,54,62,70,86,96,160,190,190,4290,0,32,32.231787644280566,2.7489320000313455,187.86204300158715,54.0
1611375408,100,,Aggregated,90.000000,0.000000,33,44,50,54,62,70,86,95,160,190,190,4390,0,33,32.71996312801195,2.7489320000313455,187.86204300158715,54.0
1611375409,100,,Aggregated,90.000000,0.000000,34,45,51,55,63,70,86,95,160,190,190,4490,0,34,33.14085934320199,2.7489320000313455,187.86204300158715,54.0
1611375410,100,,Aggregated,90.000000,0.000000,34,45,52,55,63,70,86,95,160,190,190,4590,0,34,33.51196139585611,2.7489320000313455,187.86204300158715,54.0
1611375411,100,,Aggregated,90.000000,0.000000,34,45,51,55,62,70,85,94,160,190,190,4690,0,34,33.38172947526111,2.7489320000313455,187.86204300158715,54.0
1611375412,100,,Aggregated,90.000000,0.000000,35,46,52,55,63,70,85,94,160,190,190,4790,0,35,33.85808091669504,2.7489320000313455,187.86204300158715,54.0
1611375413,100,,Aggregated,90.000000,0.000000,35,46,52,55,62,70,85,94,160,190,190,4890,0,35,34.115323621877124,2.7489320000313455,187.86204300158715,54.0
1611375414,100,,Aggregated,100.000000,0.000000,36,47,53,56,63,71,84,93,160,190,190,4990,0,36,34.61211437394245,2.7489320000313455,187.86204300158715,54.0
1611375415,100,,Aggregated,100.000000,0.000000,36,47,53,56,63,70,84,93,140,190,190,5090,0,36,34.844137539879505,2.7489320000313455,187.86204300158715,54.0
1611375416,100,,Aggregated,100.000000,0.000000,37,48,54,57,64,73,89,97,140,190,190,5190,0,37,35.68828141599236,2.7489320000313455,187.86204300158715,54.0
1611375417,100,,Aggregated,100.000000,0.000000,38,49,54,57,65,73,89,97,140,190,190,5290,0,38,36.194374805860676,2.7489320000313455,187.86204300158715,54.0
1611375418,100,,Aggregated,100.000000,0.000000,38,49,54,57,64,73,89,96,140,190,190,5390,0,38,36.47804946215351,2.7489320000313455,187.86204300158715,54.0
1611375419,100,,Aggregated,90.000000,0.000000,39,50,55,58,65,73,89,96,140,190,190,5490,0,39,36.867917015484714,2.7489320000313455,187.86204300158715,54.0
1611375421,100,,Aggregated,90.000000,0.000000,40,50,55,58,65,73,88,96,140,190,190,5590,0,40,37.14653331324021,2.7489320000313455,187.86204300158715,54.0
1611375422,100,,Aggregated,90.000000,0.000000,40,51,56,58,66,74,88,96,140,190,190,5690,0,40,37.396877471706055,2.7489320000313455,187.86204300158715,54.0
1611375423,100,,Aggregated,90.000000,0.000000,41,51,56,58,67,76,89,96,140,190,190,5790,0,41,37.722570384975725,2.7489320000313455,187.86204300158715,54.0
1611375424,100,,Aggregated,90.000000,0.000000,41,51,56,59,67,76,88,96,140,190,190,5890,0,41,37.89680512852414,2.7489320000313455,187.86204300158715,54.0
1611375425,100,,Aggregated,90.000000,0.000000,41,51,56,59,67,76,88,96,140,190,190,5990,0,41,38.01035209933345,2.7489320000313455,187.86204300158715,54.0
1611375426,100,,Aggregated,90.000000,0.000000,41,51,56,59,67,75,88,96,130,190,190,6090,0,41,38.08593558506015,2.7489320000313455,187.86204300158715,54.0
1611375427,100,,Aggregated,90.000000,0.000000,41,51,56,59,67,75,88,96,130,190,190,6190,0,41,38.092578855090885,2.7489320000313455,187.86204300158715,54.0
1611375428,100,,Aggregated,90.000000,0.000000,41,51,56,59,67,75,88,96,130,190,190,6290,0,41,38.09984354213354,2.7489320000313455,187.86204300158715,54.0
1611375429,100,,Aggregated,90.000000,0.000000,41,51,56,59,67,75,87,95,130,190,190,6390,0,41,38.12695690219413,2.7489320000313455,187.86204300158715,54.0
1611375430,100,,Aggregated,100.000000,0.000000,41,51,56,59,67,74,87,95,130,190,190,6490,0,41,38.15130244514844,2.7489320000313455,187.86204300158715,54.0
1611375431,100,,Aggregated,100.000000,0.000000,41,51,56,59,67,74,87,95,130,190,190,6590,0,41,38.14308796267303,2.7489320000313455,187.86204300158715,54.0
1611375432,100,,Aggregated,100.000000,0.000000,41,51,56,59,67,74,87,95,130,190,190,6690,0,41,38.07521189447178,2.7489320000313455,187.86204300158715,54.0
1611375433,100,,Aggregated,95.800000,0.000000,41,51,56,59,67,74,87,95,130,190,190,6790,0,41,38.03802277305174,2.7489320000313455,187.86204300158715,54.0
1611375434,100,,Aggregated,95.800000,0.000000,40,51,56,58,67,74,87,95,130,190,190,6890,0,40,37.881016552834296,2.7489320000313455,187.86204300158715,54.0
1611375436,100,,Aggregated,95.200000,0.000000,40,50,55,58,66,74,86,95,130,190,190,6990,0,40,37.770990312593206,2.7489320000313455,187.86204300158715,54.0
1611375437,100,,Aggregated,95.200000,0.000000,39,50,55,58,66,74,86,95,120,190,190,7090,0,39,37.58270445924406,2.7489320000313455,187.86204300158715,54.0
1611375438,100,,Aggregated,90.000000,0.000000,39,50,55,58,66,73,86,95,120,190,190,7190,0,39,37.53314796203638,2.7489320000313455,187.86204300158715,54.0
1611375439,100,,Aggregated,90.000000,0.000000,39,49,55,58,66,73,86,94,120,190,190,7290,0,39,37.4258934482905,2.7489320000313455,187.86204300158715,54.0
1611375440,100,,Aggregated,90.000000,0.000000,39,50,55,58,66,73,86,94,120,190,190,7390,0,39,37.53174585115574,2.7489320000313455,187.86204300158715,54.0
1611375441,100,,Aggregated,90.000000,0.000000,40,50,55,58,67,74,86,94,120,190,190,7490,0,40,37.96027621722738,2.7489320000313455,187.86204300158715,54.0
1611375442,100,,Aggregated,90.000000,0.000000,40,51,56,59,67,74,86,94,120,190,190,7590,0,40,38.29898488287678,2.7489320000313455,187.86204300158715,54.0
1611375443,100,,Aggregated,90.000000,0.000000,41,51,56,59,67,75,86,94,120,190,190,7690,0,41,38.681396257870574,2.7489320000313455,187.86204300158715,54.0
1611375444,100,,Aggregated,94.200000,0.000000,41,51,57,59,67,74,86,94,120,190,190,7790,0,41,38.86762458459864,2.7489320000313455,187.86204300158715,54.0
1611375445,100,,Aggregated,94.200000,0.000000,41,51,56,59,67,74,86,94,120,190,190,7890,0,41,38.841978655008646,2.7489320000313455,187.86204300158715,54.0
1611375446,100,,Aggregated,94.800000,0.000000,42,51,56,59,67,74,86,94,120,190,190,7990,0,42,38.98567628260471,2.7489320000313455,187.86204300158715,54.0
1611375447,100,,Aggregated,94.800000,0.000000,42,51,56,59,67,74,86,94,120,190,190,8090,0,42,39.0717022106332,2.7489320000313455,187.86204300158715,54.0
1611375448,100,,Aggregated,100.000000,0.000000,42,52,57,60,68,75,86,94,120,190,190,8190,0,42,39.445667602322594,2.7489320000313455,187.86204300158715,54.0
1611375449,100,,Aggregated,100.000000,0.000000,42,52,57,60,68,76,87,95,120,190,190,8290,0,42,39.74501955766375,2.7489320000313455,187.86204300158715,54.0
1611375450,100,,Aggregated,100.000000,0.000000,43,52,57,60,68,76,87,95,120,190,190,8390,0,43,39.88096710393773,2.7489320000313455,187.86204300158715,54.0
1611375452,100,,Aggregated,90.900000,0.000000,43,52,57,60,69,76,87,95,120,190,190,8490,0,43,40.060374225564,2.7489320000313455,187.86204300158715,54.0
1611375453,100,,Aggregated,90.200000,0.000000,43,53,57,60,69,76,87,95,120,190,190,8590,0,43,40.22900097218324,2.6986080010829028,187.86204300158715,54.0
1611375454,100,,Aggregated,90.000000,0.000000,43,52,57,60,69,76,87,94,120,190,190,8690,0,43,40.12011064131848,2.6986080010829028,187.86204300158715,54.0
1611375455,100,,Aggregated,90.000000,0.000000,42,52,57,60,69,76,87,94,120,190,190,8790,0,42,39.935314778733606,2.6986080010829028,187.86204300158715,54.0
1611375456,100,,Aggregated,90.000000,0.000000,42,52,57,60,69,76,86,94,120,190,190,8890,0,42,39.8205454060818,2.6986080010829028,187.86204300158715,54.0
