Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
PUT,/criminal/100,2,0,8,11.53524249957627,7.840706999559188,15.229777999593352,51.0,0.00222566506402317,0.0,15,15,15,15,15,15,15,15,15,15,15
PUT,/criminal/1000,2,0,3.358492000188562,3.6609225003303436,3.358492000188562,3.963353000472125,51.0,0.00222566506402317,0.0,4,4,4,4,4,4,4,4,4,4,4
PUT,/criminal/10000,2,0,4.091834000064409,4.1778699996939395,4.091834000064409,4.26390599932347,51.0,0.00222566506402317,0.0,4,4,4,4,4,4,4,4,4,4,4
PUT,/criminal/10002,67,0,72,71.13481749253077,40.693287999602035,83.04900599978282,51.0,0.0745597796447762,0.0,72,76,79,79,81,82,83,83,83,83,83
PUT,/criminal/10006,31,0,58,58.367466999962126,54.46313599986752,63.397737999366655,51.0,0.03449780849235914,0.0,58,60,60,61,61,63,63,63,63,63,63
PUT,/criminal/1001,1,0,4.358954000053927,4.358954000053927,4.358954000053927,4.358954000053927,51.0,0.001112832532011585,0.0,4,4,4,4,4,4,4,4,4,4,4
PUT,/criminal/1002,1,0,4.1148569998767925,4.1148569998767925,4.1148569998767925,4.1148569998767925,51.0,0.001112832532011585,0.0,4,4,4,4,4,4,4,4,4,4,4
PUT,/criminal/1003,2,0,7,6.960840999909124,6.6784330001610215,7.243248999657226,51.0,0.00222566506402317,0.0,7,7,7,7,7,7,7,7,7,7,7
PUT,/criminal/1004,4,0,11,11.039599749892659,9.52931499978149,12.220708999848284,51.0,0.00445133012804634,0.0,11,11,12,12,12,12,12,12,12,12,12
PUT,/criminal/1006,7,0,25,24.66329228575757,22.987108000052103,26.54968299975735,51.0,0.0077898277240810955,0.0,25,25,26,26,27,27,27,27,27,27,27
PUT,/criminal/1010,25,0,24,24.65412687997741,22.296936999737227,28.082218000236026,51.0,0.027820813300289626,0.0,24,25,25,26,27,28,28,28,28,28,28
PUT,/criminal/10100,6,0,14,12.816702500155467,6.5534989998923265,14.99498900011531,51.0,0.00667699519206951,0.0,14,14,15,15,15,15,15,15,15,15,15
PUT,/criminal/10101,14,0,23,25.118256857175375,15.284510999663325,34.313875999941956,51.0,0.015579655448162191,0.0,23,33,33,33,34,34,34,34,34,34,34
PUT,/criminal/10106,4,0,29,28.942552999978943,28.190541999720153,29.74179299962998,51.0,0.00445133012804634,0.0,29,29,30,30,30,30,30,30,30,30,30
PUT,/criminal/10111,11,0,57,56.807405090694374,54.32330399980856,59.437930999592936,51.0,0.012241157852127435,0.0,57,57,58,58,59,59,59,59,59,59,59
PUT,/criminal/10114,15,0,53,53.56297806653553,51.59720399933576,56.151032999878225,51.0,0.016692487980173774,0.0,53,54,55,55,56,56,56,56,56,56,56
PUT,/criminal/10124,50,0,50,50.03064587997869,46.830678999867814,53.7916490002317,51.0,0.05564162660057925,0.0,50,51,51,52,53,53,54,54,54,54,54
