Time,Memory,Method
1241257,11552,GET
581330,4720,GET
363883,4944,GET
560551,4736,GET
369944,4880,GET
531787,4736,GET
609162,4704,GET
522750,4816,GET
545042,4800,GET
482234,4560,GET
491131,4560,GET
498835,4592,GET
495409,4592,GET
457047,4592,GET
455093,4592,GET
506280,4592,GET
454873,4624,GET
500158,4592,GET
468248,4592,GET
474440,4592,GET
443291,4592,GET
474229,4592,GET
443943,4592,GET
428424,4592,GET
471044,4592,GET
460634,4592,GET
440556,4592,GET
444123,4592,GET
365896,4592,GET
434646,4592,GET
428864,4592,GET
444954,4592,GET
436399,4592,GET
432301,4592,GET
470262,4592,GET
454442,4592,GET
503575,4592,GET
499296,4592,GET
471976,4592,GET
454372,4592,GET
444313,4592,GET
418905,4592,GET
283351,4592,GET
479058,4592,GET
486222,4592,GET
433222,4592,GET
433243,4592,GET
474160,4592,GET
425438,4592,GET
460123,4592,GET
459422,4592,GET
446588,4592,GET
460434,4592,GET
432321,4592,GET
465834,4592,GET
470573,4592,GET
469340,4592,GET
321813,4592,GET
283692,4592,GET
446377,4592,GET
439114,4592,GET
454432,4592,GET
455294,4592,GET
451196,4592,GET
434685,4592,GET
438512,4592,GET
470352,4688,GET
430307,4592,GET
428444,4592,GET
431659,4592,GET
433182,4592,GET
480491,4592,GET
452809,4592,GET
470593,4592,GET
456847,4592,GET
444895,4592,GET
453852,4592,GET
437611,4592,GET
443952,4592,GET
429125,4592,GET
457327,4592,GET
455154,4592,GET
473007,4592,GET
428985,4592,GET
470191,4592,GET
477295,4592,GET
451647,4592,GET
456877,4592,GET
446297,4592,GET
493485,4592,GET
429406,4592,GET
463259,4592,GET
466896,4592,GET
495970,4592,GET
427762,4592,GET
447780,4592,GET
431890,4592,GET
503965,4592,GET
431880,4592,GET
444213,4592,GET
453180,4592,GET
455074,4592,GET
429916,4592,GET
430728,4592,GET
434475,4592,GET
411001,4592,GET
532398,4592,GET
435817,4592,GET
422703,4592,GET
376446,4592,GET
465333,4592,GET
510026,4592,GET
475091,4592,GET
425779,4592,GET
520686,4592,GET
443992,4592,GET
542377,4600,GET
451506,4592,GET
449513,4592,GET
437951,4592,GET
467056,4592,GET
481312,4592,GET
448371,4592,GET
437260,4592,GET
430237,4592,GET
457828,4592,GET
432081,4592,GET
432812,4592,GET
436448,4592,GET
517651,4592,GET
433954,4592,GET
445646,4592,GET
458330,4592,GET
460333,4592,GET
459753,4592,GET
431469,4592,GET
460333,4592,GET
477165,4592,GET
450415,4592,GET
413345,4592,GET
437631,4592,GET
456866,4592,GET
466315,4592,GET
459642,4592,GET
446928,4592,GET
469921,4592,GET
476363,4592,GET
451857,4592,GET
468398,4592,GET
469009,4592,GET
289583,4592,GET
527058,4632,GET
450545,4592,GET
462176,4592,GET
460664,4592,GET
476193,4592,GET
451356,4592,GET
429034,4592,GET
455454,4592,GET
421100,4592,GET
447879,4592,GET
479299,4592,GET
290013,4592,GET
271349,4592,GET
273914,4592,GET
254808,4592,GET
257422,4592,GET
292398,4592,GET
271950,4592,GET
473428,4592,GET
275797,4592,GET
259346,4592,GET
274494,4592,GET
284924,4592,GET
288972,4592,GET
296446,4592,GET
275647,4592,GET
