Time,Memory,Method
946684,10192,GET
629406,4656,GET
631761,4880,GET
774479,10800,GET
471378,265744,GET
543104,4968,GET
538094,4896,GET
509330,4496,GET
607475,4736,GET
523257,4496,GET
651559,4496,GET
537753,4528,GET
509931,4528,GET
541351,4528,GET
446031,4528,GET
452774,4528,GET
294956,4560,GET
426073,4528,GET
463394,4528,GET
455979,4528,GET
438316,4528,GET
447874,4528,GET
473233,4528,GET
471839,4528,GET
450048,4528,GET
472410,4528,GET
409342,4528,GET
454386,4528,GET
449207,4528,GET
521413,4528,GET
418459,4528,GET
468894,4528,GET
433327,4528,GET
425081,4528,GET
497127,4528,GET
437304,4528,GET
472140,4528,GET
513037,4528,GET
448906,4528,GET
429199,4528,GET
429980,4528,GET
301428,4528,GET
460098,4528,GET
485125,4528,GET
501345,4528,GET
285027,4528,GET
428117,4528,GET
543454,4528,GET
265340,4552,GET
474895,4528,GET
459477,4528,GET
447594,4528,GET
493801,4528,GET
515231,4528,GET
477129,4528,GET
457773,4528,GET
464345,4528,GET
456621,4528,GET
458294,4528,GET
446532,4528,GET
421063,4528,GET
427306,4528,GET
442744,4528,GET
468493,4528,GET
418689,4528,GET
442745,4528,GET
430100,4528,GET
418218,4528,GET
479294,4528,GET
458104,4528,GET
468764,4528,GET
599491,4528,GET
445981,4528,GET
479594,4528,GET
455619,4528,GET
423248,4528,GET
427185,4528,GET
443617,4528,GET
460047,4528,GET
477119,4528,GET
419812,4528,GET
476829,4528,GET
435321,4528,GET
278375,4528,GET
496977,4528,GET
465678,4528,GET
277764,4528,GET
660726,4528,GET
416966,4528,GET
398491,4528,GET
431373,4528,GET
421294,4528,GET
432896,4528,GET
429941,4528,GET
394794,4528,GET
473853,4528,GET
431483,4528,GET
430992,4528,GET
439970,4528,GET
275299,4528,GET
426574,4528,GET
410053,4528,GET
499281,4528,GET
391028,4528,GET
480706,4528,GET
303382,4528,GET
425311,4528,GET
281751,4528,GET
486107,4784,GET
426333,4528,GET
257736,4528,GET
302510,4528,GET
261954,4528,GET
428778,4528,GET
444568,4528,GET
447924,4528,GET
489653,4528,GET
472451,4528,GET
528366,4528,GET
454306,4528,GET
446752,4528,GET
496997,4528,GET
484684,4528,GET
475676,4528,GET
488070,4528,GET
408329,4528,GET
490866,4528,GET
435191,4528,GET
402869,4528,GET
477109,4528,GET
501706,4528,GET
469154,4528,GET
461180,4528,GET
467993,4528,GET
447934,4528,GET
458525,4528,GET
440620,4528,GET
439509,4528,GET
494292,4528,GET
465538,4528,GET
466970,4528,GET
497788,4528,GET
442013,4528,GET
440922,4528,GET
456210,4528,GET
448336,4528,GET
504952,4528,GET
490776,4528,GET
426564,4528,GET
496265,4528,GET
457733,4528,GET
