Method,Name,Error,Occurrences
DELETE,/criminal/95,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
DELETE,/criminal/108,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
DELETE,/criminal/110,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
DELETE,/criminal/27,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
DELETE,/criminal/67,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
DELETE,/criminal/97,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",1
DELETE,/criminal/31,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",1
DELETE,/criminal/49,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
DELETE,/criminal/69,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
DELETE,/criminal/34,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
DELETE,/criminal/104,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
DELETE,/criminal/81,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",1
DELETE,/criminal/74,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",1
DELETE,/criminal/83,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
DELETE,/criminal/57,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",1
DELETE,/criminal/42,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
DELETE,/criminal/16,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",1
DELETE,/criminal/65,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",1
DELETE,/criminal/127,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
DELETE,/criminal/46,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
DELETE,/criminal/85,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
DELETE,/criminal/125,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
DELETE,/criminal/113,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
