Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,/criminal/10,1,0,12.928685000133555,12.928685000133555,12.928685000133555,12.928685000133555,54.0,0.001675859998404876,0.0,13,13,13,13,13,13,13,13,13,13,13
DELETE,/criminal/100,1,0,12.52248899982078,12.52248899982078,12.52248899982078,12.52248899982078,54.0,0.001675859998404876,0.0,13,13,13,13,13,13,13,13,13,13,13
DELETE,/criminal/101,1,0,11.815557000318222,11.815557000318222,11.815557000318222,11.815557000318222,54.0,0.001675859998404876,0.0,12,12,12,12,12,12,12,12,12,12,12
DELETE,/criminal/102,1,0,11.791521000304783,11.791521000304783,11.791521000304783,11.791521000304783,54.0,0.001675859998404876,0.0,12,12,12,12,12,12,12,12,12,12,12
DELETE,/criminal/103,1,0,11.81408399997963,11.81408399997963,11.81408399997963,11.81408399997963,54.0,0.001675859998404876,0.0,12,12,12,12,12,12,12,12,12,12,12
DELETE,/criminal/104,1,1,2.3030190000099537,2.3030190000099537,2.3030190000099537,2.3030190000099537,0.0,0.001675859998404876,0.001675859998404876,2,2,2,2,2,2,2,2,2,2,2
DELETE,/criminal/105,1,0,50.586824000220076,50.586824000220076,50.586824000220076,50.586824000220076,54.0,0.001675859998404876,0.0,51,51,51,51,51,51,51,51,51,51,51
DELETE,/criminal/106,1,0,11.606505000145262,11.606505000145262,11.606505000145262,11.606505000145262,54.0,0.001675859998404876,0.0,12,12,12,12,12,12,12,12,12,12,12
DELETE,/criminal/107,1,0,12.409125999965909,12.409125999965909,12.409125999965909,12.409125999965909,54.0,0.001675859998404876,0.0,12,12,12,12,12,12,12,12,12,12,12
DELETE,/criminal/108,1,1,2.559938999638689,2.559938999638689,2.559938999638689,2.559938999638689,0.0,0.001675859998404876,0.001675859998404876,3,3,3,3,3,3,3,3,3,3,3
DELETE,/criminal/109,1,0,4.881413000020984,4.881413000020984,4.881413000020984,4.881413000020984,54.0,0.001675859998404876,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/11,1,0,11.533856999903946,11.533856999903946,11.533856999903946,11.533856999903946,54.0,0.001675859998404876,0.0,12,12,12,12,12,12,12,12,12,12,12
DELETE,/criminal/110,1,1,2.2674219999316847,2.2674219999316847,2.2674219999316847,2.2674219999316847,0.0,0.001675859998404876,0.001675859998404876,2,2,2,2,2,2,2,2,2,2,2
DELETE,/criminal/111,1,0,4.840095999952609,4.840095999952609,4.840095999952609,4.840095999952609,54.0,0.001675859998404876,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/112,1,0,4.2010300003312295,4.2010300003312295,4.2010300003312295,4.2010300003312295,54.0,0.001675859998404876,0.0,4,4,4,4,4,4,4,4,4,4,4
DELETE,/criminal/113,1,1,2.3369020000245655,2.3369020000245655,2.3369020000245655,2.3369020000245655,0.0,0.001675859998404876,0.001675859998404876,2,2,2,2,2,2,2,2,2,2,2
DELETE,/criminal/114,1,0,4.879921000338072,4.879921000338072,4.879921000338072,4.879921000338072,54.0,0.001675859998404876,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/115,1,0,5.364378000194847,5.364378000194847,5.364378000194847,5.364378000194847,54.0,0.001675859998404876,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/116,1,0,4.203716000120039,4.203716000120039,4.203716000120039,4.203716000120039,54.0,0.001675859998404876,0.0,4,4,4,4,4,4,4,4,4,4,4
DELETE,/criminal/117,1,0,4.864871999870957,4.864871999870957,4.864871999870957,4.864871999870957,54.0,0.001675859998404876,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/118,1,0,4.326696000134689,4.326696000134689,4.326696000134689,4.326696000134689,54.0,0.001675859998404876,0.0,4,4,4,4,4,4,4,4,4,4,4
DELETE,/criminal/119,1,0,4.321074999552366,4.321074999552366,4.321074999552366,4.321074999552366,54.0,0.001675859998404876,0.0,4,4,4,4,4,4,4,4,4,4,4
DELETE,/criminal/12,1,0,11.842283000078169,11.842283000078169,11.842283000078169,11.842283000078169,54.0,0.001675859998404876,0.0,12,12,12,12,12,12,12,12,12,12,12
DELETE,/criminal/120,1,0,4.435348000242811,4.435348000242811,4.435348000242811,4.435348000242811,54.0,0.001675859998404876,0.0,4,4,4,4,4,4,4,4,4,4,4
DELETE,/criminal/121,1,0,3.981480000220472,3.981480000220472,3.981480000220472,3.981480000220472,54.0,0.001675859998404876,0.0,4,4,4,4,4,4,4,4,4,4,4
DELETE,/criminal/122,1,0,4.802747000212548,4.802747000212548,4.802747000212548,4.802747000212548,54.0,0.001675859998404876,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/123,1,0,3.9927210000314517,3.9927210000314517,3.9927210000314517,3.9927210000314517,54.0,0.001675859998404876,0.0,4,4,4,4,4,4,4,4,4,4,4
DELETE,/criminal/124,1,0,4.998503000024357,4.998503000024357,4.998503000024357,4.998503000024357,54.0,0.001675859998404876,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/125,1,1,2.4601729996902577,2.4601729996902577,2.4601729996902577,2.4601729996902577,0.0,0.001675859998404876,0.001675859998404876,2,2,2,2,2,2,2,2,2,2,2
DELETE,/criminal/126,1,0,4.929484000058437,4.929484000058437,4.929484000058437,4.929484000058437,54.0,0.001675859998404876,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/127,1,1,2.2882620000928,2.2882620000928,2.2882620000928,2.2882620000928,0.0,0.001675859998404876,0.001675859998404876,2,2,2,2,2,2,2,2,2,2,2
DELETE,/criminal/128,1,0,4.879178999999567,4.879178999999567,4.879178999999567,4.879178999999567,54.0,0.001675859998404876,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/13,1,0,5.073861999790097,5.073861999790097,5.073861999790097,5.073861999790097,54.0,0.001675859998404876,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/14,1,0,12.639604999549192,12.639604999549192,12.639604999549192,12.639604999549192,54.0,0.001675859998404876,0.0,13,13,13,13,13,13,13,13,13,13,13
DELETE,/criminal/15,1,0,12.609598000381084,12.609598000381084,12.609598000381084,12.609598000381084,54.0,0.001675859998404876,0.0,13,13,13,13,13,13,13,13,13,13,13
DELETE,/criminal/16,1,1,2.363480999974854,2.363480999974854,2.363480999974854,2.363480999974854,0.0,0.001675859998404876,0.001675859998404876,2,2,2,2,2,2,2,2,2,2,2
DELETE,/criminal/17,1,0,49.68567800005985,49.68567800005985,49.68567800005985,49.68567800005985,54.0,0.001675859998404876,0.0,50,50,50,50,50,50,50,50,50,50,50
DELETE,/criminal/18,1,0,5.688841999926808,5.688841999926808,5.688841999926808,5.688841999926808,54.0,0.001675859998404876,0.0,6,6,6,6,6,6,6,6,6,6,6
DELETE,/criminal/19,1,0,12.017960999855859,12.017960999855859,12.017960999855859,12.017960999855859,54.0,0.001675859998404876,0.0,12,12,12,12,12,12,12,12,12,12,12
DELETE,/criminal/20,1,0,12.653130000217061,12.653130000217061,12.653130000217061,12.653130000217061,54.0,0.001675859998404876,0.0,13,13,13,13,13,13,13,13,13,13,13
DELETE,/criminal/21,1,0,12.103382000077545,12.103382000077545,12.103382000077545,12.103382000077545,54.0,0.001675859998404876,0.0,12,12,12,12,12,12,12,12,12,12,12
DELETE,/criminal/22,1,0,11.82998000012958,11.82998000012958,11.82998000012958,11.82998000012958,54.0,0.001675859998404876,0.0,12,12,12,12,12,12,12,12,12,12,12
DELETE,/criminal/23,1,0,11.918815999706567,11.918815999706567,11.918815999706567,11.918815999706567,54.0,0.001675859998404876,0.0,12,12,12,12,12,12,12,12,12,12,12
DELETE,/criminal/24,1,0,11.667646000205423,11.667646000205423,11.667646000205423,11.667646000205423,54.0,0.001675859998404876,0.0,12,12,12,12,12,12,12,12,12,12,12
DELETE,/criminal/25,1,0,13.203709999743296,13.203709999743296,13.203709999743296,13.203709999743296,54.0,0.001675859998404876,0.0,13,13,13,13,13,13,13,13,13,13,13
DELETE,/criminal/26,1,0,11.813679000169941,11.813679000169941,11.813679000169941,11.813679000169941,54.0,0.001675859998404876,0.0,12,12,12,12,12,12,12,12,12,12,12
DELETE,/criminal/27,1,1,2.4403249999522814,2.4403249999522814,2.4403249999522814,2.4403249999522814,0.0,0.001675859998404876,0.001675859998404876,2,2,2,2,2,2,2,2,2,2,2
DELETE,/criminal/28,1,0,12.619055999948614,12.619055999948614,12.619055999948614,12.619055999948614,54.0,0.001675859998404876,0.0,13,13,13,13,13,13,13,13,13,13,13
DELETE,/criminal/29,1,0,11.64101699987441,11.64101699987441,11.64101699987441,11.64101699987441,54.0,0.001675859998404876,0.0,12,12,12,12,12,12,12,12,12,12,12
DELETE,/criminal/30,1,0,12.783223000042199,12.783223000042199,12.783223000042199,12.783223000042199,54.0,0.001675859998404876,0.0,13,13,13,13,13,13,13,13,13,13,13
DELETE,/criminal/31,1,1,2.466844999617024,2.466844999617024,2.466844999617024,2.466844999617024,0.0,0.001675859998404876,0.001675859998404876,2,2,2,2,2,2,2,2,2,2,2
DELETE,/criminal/32,1,0,12.47604800028057,12.47604800028057,12.47604800028057,12.47604800028057,54.0,0.001675859998404876,0.0,12,12,12,12,12,12,12,12,12,12,12
DELETE,/criminal/33,1,0,11.822054999811371,11.822054999811371,11.822054999811371,11.822054999811371,54.0,0.001675859998404876,0.0,12,12,12,12,12,12,12,12,12,12,12
DELETE,/criminal/34,1,1,2.466954999817972,2.466954999817972,2.466954999817972,2.466954999817972,0.0,0.001675859998404876,0.001675859998404876,2,2,2,2,2,2,2,2,2,2,2
DELETE,/criminal/35,1,0,49.70889800006262,49.70889800006262,49.70889800006262,49.70889800006262,54.0,0.001675859998404876,0.0,50,50,50,50,50,50,50,50,50,50,50
DELETE,/criminal/36,1,0,11.842623000120511,11.842623000120511,11.842623000120511,11.842623000120511,54.0,0.001675859998404876,0.0,12,12,12,12,12,12,12,12,12,12,12
DELETE,/criminal/37,1,0,11.808329000359663,11.808329000359663,11.808329000359663,11.808329000359663,54.0,0.001675859998404876,0.0,12,12,12,12,12,12,12,12,12,12,12
DELETE,/criminal/38,1,0,11.871036999764328,11.871036999764328,11.871036999764328,11.871036999764328,54.0,0.001675859998404876,0.0,12,12,12,12,12,12,12,12,12,12,12
DELETE,/criminal/39,1,0,11.781578999944031,11.781578999944031,11.781578999944031,11.781578999944031,54.0,0.001675859998404876,0.0,12,12,12,12,12,12,12,12,12,12,12
DELETE,/criminal/40,1,0,11.825382000097306,11.825382000097306,11.825382000097306,11.825382000097306,54.0,0.001675859998404876,0.0,12,12,12,12,12,12,12,12,12,12,12
DELETE,/criminal/41,1,0,12.5080079997133,12.5080079997133,12.5080079997133,12.5080079997133,54.0,0.001675859998404876,0.0,13,13,13,13,13,13,13,13,13,13,13
DELETE,/criminal/42,1,1,2.490649000264966,2.490649000264966,2.490649000264966,2.490649000264966,0.0,0.001675859998404876,0.001675859998404876,2,2,2,2,2,2,2,2,2,2,2
DELETE,/criminal/43,1,0,12.99930699997276,12.99930699997276,12.99930699997276,12.99930699997276,54.0,0.001675859998404876,0.0,13,13,13,13,13,13,13,13,13,13,13
DELETE,/criminal/44,1,0,11.85888400004842,11.85888400004842,11.85888400004842,11.85888400004842,54.0,0.001675859998404876,0.0,12,12,12,12,12,12,12,12,12,12,12
DELETE,/criminal/45,1,0,15.074670000103652,15.074670000103652,15.074670000103652,15.074670000103652,54.0,0.001675859998404876,0.0,15,15,15,15,15,15,15,15,15,15,15
DELETE,/criminal/46,1,1,2.2532550001415075,2.2532550001415075,2.2532550001415075,2.2532550001415075,0.0,0.001675859998404876,0.001675859998404876,2,2,2,2,2,2,2,2,2,2,2
DELETE,/criminal/47,1,0,12.354811000022892,12.354811000022892,12.354811000022892,12.354811000022892,54.0,0.001675859998404876,0.0,12,12,12,12,12,12,12,12,12,12,12
DELETE,/criminal/48,1,0,11.849376000100165,11.849376000100165,11.849376000100165,11.849376000100165,54.0,0.001675859998404876,0.0,12,12,12,12,12,12,12,12,12,12,12
DELETE,/criminal/49,1,1,2.2971670000515587,2.2971670000515587,2.2971670000515587,2.2971670000515587,0.0,0.001675859998404876,0.001675859998404876,2,2,2,2,2,2,2,2,2,2,2
DELETE,/criminal/50,1,0,50.300956999763,50.300956999763,50.300956999763,50.300956999763,54.0,0.001675859998404876,0.0,50,50,50,50,50,50,50,50,50,50,50
DELETE,/criminal/51,1,0,11.658800000077463,11.658800000077463,11.658800000077463,11.658800000077463,54.0,0.001675859998404876,0.0,12,12,12,12,12,12,12,12,12,12,12
DELETE,/criminal/52,1,0,12.123227999836672,12.123227999836672,12.123227999836672,12.123227999836672,54.0,0.001675859998404876,0.0,12,12,12,12,12,12,12,12,12,12,12
