Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
PUT,/criminal/10,1,0,13.185930999952689,13.185930999952689,13.185930999952689,13.185930999952689,51.0,0.0016755583683578615,0.0,13,13,13,13,13,13,13,13,13,13,13
PUT,/criminal/100,1,1,2.253657999972347,2.253657999972347,2.253657999972347,2.253657999972347,0.0,0.0016755583683578615,0.0016755583683578615,2,2,2,2,2,2,2,2,2,2,2
PUT,/criminal/101,1,0,13.6634390000836,13.6634390000836,13.6634390000836,13.6634390000836,51.0,0.0016755583683578615,0.0,14,14,14,14,14,14,14,14,14,14,14
PUT,/criminal/102,1,1,2.513172999897506,2.513172999897506,2.513172999897506,2.513172999897506,0.0,0.0016755583683578615,0.0016755583683578615,3,3,3,3,3,3,3,3,3,3,3
PUT,/criminal/103,1,0,50.431542999831436,50.431542999831436,50.431542999831436,50.431542999831436,51.0,0.0016755583683578615,0.0,50,50,50,50,50,50,50,50,50,50,50
PUT,/criminal/104,1,1,2.607410999644344,2.607410999644344,2.607410999644344,2.607410999644344,0.0,0.0016755583683578615,0.0016755583683578615,3,3,3,3,3,3,3,3,3,3,3
PUT,/criminal/105,1,0,6.492289000107121,6.492289000107121,6.492289000107121,6.492289000107121,51.0,0.0016755583683578615,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/106,1,0,12.684854999861273,12.684854999861273,12.684854999861273,12.684854999861273,51.0,0.0016755583683578615,0.0,13,13,13,13,13,13,13,13,13,13,13
PUT,/criminal/107,1,1,2.562737000062043,2.562737000062043,2.562737000062043,2.562737000062043,0.0,0.0016755583683578615,0.0016755583683578615,3,3,3,3,3,3,3,3,3,3,3
PUT,/criminal/108,1,0,50.85375499993461,50.85375499993461,50.85375499993461,50.85375499993461,51.0,0.0016755583683578615,0.0,51,51,51,51,51,51,51,51,51,51,51
PUT,/criminal/109,1,0,4.904260000330396,4.904260000330396,4.904260000330396,4.904260000330396,51.0,0.0016755583683578615,0.0,5,5,5,5,5,5,5,5,5,5,5
PUT,/criminal/11,1,1,2.5916829999914626,2.5916829999914626,2.5916829999914626,2.5916829999914626,0.0,0.0016755583683578615,0.0016755583683578615,3,3,3,3,3,3,3,3,3,3,3
PUT,/criminal/110,1,1,2.589237999927718,2.589237999927718,2.589237999927718,2.589237999927718,0.0,0.0016755583683578615,0.0016755583683578615,3,3,3,3,3,3,3,3,3,3,3
PUT,/criminal/111,1,0,5.604013000265695,5.604013000265695,5.604013000265695,5.604013000265695,51.0,0.0016755583683578615,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/112,1,0,5.137598000146681,5.137598000146681,5.137598000146681,5.137598000146681,51.0,0.0016755583683578615,0.0,5,5,5,5,5,5,5,5,5,5,5
PUT,/criminal/113,1,0,3.999582999767881,3.999582999767881,3.999582999767881,3.999582999767881,51.0,0.0016755583683578615,0.0,4,4,4,4,4,4,4,4,4,4,4
PUT,/criminal/114,1,0,4.224485000122513,4.224485000122513,4.224485000122513,4.224485000122513,51.0,0.0016755583683578615,0.0,4,4,4,4,4,4,4,4,4,4,4
PUT,/criminal/115,1,1,2.505671000108123,2.505671000108123,2.505671000108123,2.505671000108123,0.0,0.0016755583683578615,0.0016755583683578615,3,3,3,3,3,3,3,3,3,3,3
PUT,/criminal/116,1,0,5.221554999934597,5.221554999934597,5.221554999934597,5.221554999934597,51.0,0.0016755583683578615,0.0,5,5,5,5,5,5,5,5,5,5,5
PUT,/criminal/117,1,1,2.522081000279286,2.522081000279286,2.522081000279286,2.522081000279286,0.0,0.0016755583683578615,0.0016755583683578615,3,3,3,3,3,3,3,3,3,3,3
PUT,/criminal/118,1,0,5.094106999877113,5.094106999877113,5.094106999877113,5.094106999877113,51.0,0.0016755583683578615,0.0,5,5,5,5,5,5,5,5,5,5,5
PUT,/criminal/119,1,0,4.584459999932733,4.584459999932733,4.584459999932733,4.584459999932733,51.0,0.0016755583683578615,0.0,5,5,5,5,5,5,5,5,5,5,5
PUT,/criminal/12,1,0,50.801212000123996,50.801212000123996,50.801212000123996,50.801212000123996,51.0,0.0016755583683578615,0.0,51,51,51,51,51,51,51,51,51,51,51
PUT,/criminal/120,1,0,8.321520000208693,8.321520000208693,8.321520000208693,8.321520000208693,51.0,0.0016755583683578615,0.0,8,8,8,8,8,8,8,8,8,8,8
PUT,/criminal/121,1,0,5.277591000321991,5.277591000321991,5.277591000321991,5.277591000321991,51.0,0.0016755583683578615,0.0,5,5,5,5,5,5,5,5,5,5,5
PUT,/criminal/122,1,0,4.381349000141199,4.381349000141199,4.381349000141199,4.381349000141199,51.0,0.0016755583683578615,0.0,4,4,4,4,4,4,4,4,4,4,4
PUT,/criminal/123,1,0,6.208316000083869,6.208316000083869,6.208316000083869,6.208316000083869,51.0,0.0016755583683578615,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/124,1,0,5.652193000059924,5.652193000059924,5.652193000059924,5.652193000059924,51.0,0.0016755583683578615,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/125,1,1,2.8723079999508627,2.8723079999508627,2.8723079999508627,2.8723079999508627,0.0,0.0016755583683578615,0.0016755583683578615,3,3,3,3,3,3,3,3,3,3,3
PUT,/criminal/126,1,0,5.166481999822281,5.166481999822281,5.166481999822281,5.166481999822281,51.0,0.0016755583683578615,0.0,5,5,5,5,5,5,5,5,5,5,5
PUT,/criminal/127,1,0,5.59318199975678,5.59318199975678,5.59318199975678,5.59318199975678,51.0,0.0016755583683578615,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/128,1,0,5.010018000120908,5.010018000120908,5.010018000120908,5.010018000120908,51.0,0.0016755583683578615,0.0,5,5,5,5,5,5,5,5,5,5,5
PUT,/criminal/13,1,1,2.467149000040081,2.467149000040081,2.467149000040081,2.467149000040081,0.0,0.0016755583683578615,0.0016755583683578615,2,2,2,2,2,2,2,2,2,2,2
PUT,/criminal/14,1,0,51.17858599987812,51.17858599987812,51.17858599987812,51.17858599987812,51.0,0.0016755583683578615,0.0,51,51,51,51,51,51,51,51,51,51,51
PUT,/criminal/15,1,1,2.5041490000603517,2.5041490000603517,2.5041490000603517,2.5041490000603517,0.0,0.0016755583683578615,0.0016755583683578615,3,3,3,3,3,3,3,3,3,3,3
PUT,/criminal/16,1,0,50.559100999862494,50.559100999862494,50.559100999862494,50.559100999862494,51.0,0.0016755583683578615,0.0,51,51,51,51,51,51,51,51,51,51,51
PUT,/criminal/17,1,0,12.874285999942003,12.874285999942003,12.874285999942003,12.874285999942003,51.0,0.0016755583683578615,0.0,13,13,13,13,13,13,13,13,13,13,13
PUT,/criminal/18,1,0,12.382123999941541,12.382123999941541,12.382123999941541,12.382123999941541,51.0,0.0016755583683578615,0.0,12,12,12,12,12,12,12,12,12,12,12
PUT,/criminal/19,1,0,13.775403999943592,13.775403999943592,13.775403999943592,13.775403999943592,51.0,0.0016755583683578615,0.0,14,14,14,14,14,14,14,14,14,14,14
PUT,/criminal/20,1,0,13.040978999924846,13.040978999924846,13.040978999924846,13.040978999924846,51.0,0.0016755583683578615,0.0,13,13,13,13,13,13,13,13,13,13,13
PUT,/criminal/21,1,0,12.545580999812955,12.545580999812955,12.545580999812955,12.545580999812955,51.0,0.0016755583683578615,0.0,13,13,13,13,13,13,13,13,13,13,13
PUT,/criminal/22,1,0,12.159848000010243,12.159848000010243,12.159848000010243,12.159848000010243,51.0,0.0016755583683578615,0.0,12,12,12,12,12,12,12,12,12,12,12
PUT,/criminal/23,1,0,12.591246000056344,12.591246000056344,12.591246000056344,12.591246000056344,51.0,0.0016755583683578615,0.0,13,13,13,13,13,13,13,13,13,13,13
PUT,/criminal/24,1,0,13.515977999986717,13.515977999986717,13.515977999986717,13.515977999986717,51.0,0.0016755583683578615,0.0,14,14,14,14,14,14,14,14,14,14,14
PUT,/criminal/25,1,0,12.32307299983404,12.32307299983404,12.32307299983404,12.32307299983404,51.0,0.0016755583683578615,0.0,12,12,12,12,12,12,12,12,12,12,12
PUT,/criminal/26,1,0,12.141014999997424,12.141014999997424,12.141014999997424,12.141014999997424,51.0,0.0016755583683578615,0.0,12,12,12,12,12,12,12,12,12,12,12
PUT,/criminal/27,1,0,12.298200000032011,12.298200000032011,12.298200000032011,12.298200000032011,51.0,0.0016755583683578615,0.0,12,12,12,12,12,12,12,12,12,12,12
PUT,/criminal/28,1,0,12.86270700006753,12.86270700006753,12.86270700006753,12.86270700006753,51.0,0.0016755583683578615,0.0,13,13,13,13,13,13,13,13,13,13,13
PUT,/criminal/29,1,0,12.230852999891795,12.230852999891795,12.230852999891795,12.230852999891795,51.0,0.0016755583683578615,0.0,12,12,12,12,12,12,12,12,12,12,12
PUT,/criminal/30,1,0,13.135649000105332,13.135649000105332,13.135649000105332,13.135649000105332,51.0,0.0016755583683578615,0.0,13,13,13,13,13,13,13,13,13,13,13
PUT,/criminal/31,1,0,11.826494999922943,11.826494999922943,11.826494999922943,11.826494999922943,51.0,0.0016755583683578615,0.0,12,12,12,12,12,12,12,12,12,12,12
PUT,/criminal/32,1,0,13.567558999966423,13.567558999966423,13.567558999966423,13.567558999966423,51.0,0.0016755583683578615,0.0,14,14,14,14,14,14,14,14,14,14,14
PUT,/criminal/33,1,0,13.298964999876262,13.298964999876262,13.298964999876262,13.298964999876262,51.0,0.0016755583683578615,0.0,13,13,13,13,13,13,13,13,13,13,13
PUT,/criminal/34,1,0,12.609873999963384,12.609873999963384,12.609873999963384,12.609873999963384,51.0,0.0016755583683578615,0.0,13,13,13,13,13,13,13,13,13,13,13
PUT,/criminal/35,1,0,5.829786000049353,5.829786000049353,5.829786000049353,5.829786000049353,51.0,0.0016755583683578615,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/36,1,0,12.322805999929187,12.322805999929187,12.322805999929187,12.322805999929187,51.0,0.0016755583683578615,0.0,12,12,12,12,12,12,12,12,12,12,12
PUT,/criminal/37,1,0,12.713727999880575,12.713727999880575,12.713727999880575,12.713727999880575,51.0,0.0016755583683578615,0.0,13,13,13,13,13,13,13,13,13,13,13
PUT,/criminal/38,1,0,13.71069699985128,13.71069699985128,13.71069699985128,13.71069699985128,51.0,0.0016755583683578615,0.0,14,14,14,14,14,14,14,14,14,14,14
PUT,/criminal/39,1,0,12.57687099996474,12.57687099996474,12.57687099996474,12.57687099996474,51.0,0.0016755583683578615,0.0,13,13,13,13,13,13,13,13,13,13,13
PUT,/criminal/40,1,0,12.906028999850605,12.906028999850605,12.906028999850605,12.906028999850605,51.0,0.0016755583683578615,0.0,13,13,13,13,13,13,13,13,13,13,13
PUT,/criminal/41,1,0,9.325367999963419,9.325367999963419,9.325367999963419,9.325367999963419,51.0,0.0016755583683578615,0.0,9,9,9,9,9,9,9,9,9,9,9
PUT,/criminal/42,1,0,5.913874000043506,5.913874000043506,5.913874000043506,5.913874000043506,51.0,0.0016755583683578615,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/43,1,1,2.6010250001036184,2.6010250001036184,2.6010250001036184,2.6010250001036184,0.0,0.0016755583683578615,0.0016755583683578615,3,3,3,3,3,3,3,3,3,3,3
PUT,/criminal/44,1,0,50.279855000098905,50.279855000098905,50.279855000098905,50.279855000098905,51.0,0.0016755583683578615,0.0,50,50,50,50,50,50,50,50,50,50,50
PUT,/criminal/45,1,0,13.734331000023303,13.734331000023303,13.734331000023303,13.734331000023303,51.0,0.0016755583683578615,0.0,14,14,14,14,14,14,14,14,14,14,14
PUT,/criminal/46,1,0,13.278607000074771,13.278607000074771,13.278607000074771,13.278607000074771,51.0,0.0016755583683578615,0.0,13,13,13,13,13,13,13,13,13,13,13
PUT,/criminal/47,1,1,2.5607590000618075,2.5607590000618075,2.5607590000618075,2.5607590000618075,0.0,0.0016755583683578615,0.0016755583683578615,3,3,3,3,3,3,3,3,3,3,3
PUT,/criminal/48,1,0,50.60044700007893,50.60044700007893,50.60044700007893,50.60044700007893,51.0,0.0016755583683578615,0.0,51,51,51,51,51,51,51,51,51,51,51
PUT,/criminal/49,1,0,12.614251999821136,12.614251999821136,12.614251999821136,12.614251999821136,51.0,0.0016755583683578615,0.0,13,13,13,13,13,13,13,13,13,13,13
PUT,/criminal/50,1,0,12.545132000013837,12.545132000013837,12.545132000013837,12.545132000013837,51.0,0.0016755583683578615,0.0,13,13,13,13,13,13,13,13,13,13,13
PUT,/criminal/51,1,0,14.090949000092223,14.090949000092223,14.090949000092223,14.090949000092223,51.0,0.0016755583683578615,0.0,14,14,14,14,14,14,14,14,14,14,14
PUT,/criminal/52,1,0,12.9044159998557,12.9044159998557,12.9044159998557,12.9044159998557,51.0,0.0016755583683578615,0.0,13,13,13,13,13,13,13,13,13,13,13
PUT,/criminal/53,1,1,2.4707810002837505,2.4707810002837505,2.4707810002837505,2.4707810002837505,0.0,0.0016755583683578615,0.0016755583683578615,2,2,2,2,2,2,2,2,2,2,2
