Method,Name,Error,Occurrences
DELETE,/criminal/109,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
DELETE,/criminal/112,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",1
DELETE,/criminal/70,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
DELETE,/criminal/65,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
DELETE,/criminal/87,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
DELETE,/criminal/17,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",1
DELETE,/criminal/21,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",1
DELETE,/criminal/45,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",1
DELETE,/criminal/27,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",1
DELETE,/criminal/89,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
DELETE,/criminal/98,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",1
DELETE,/criminal/78,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
DELETE,/criminal/23,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",1
DELETE,/criminal/72,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
DELETE,/criminal/75,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
DELETE,/criminal/63,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",1
DELETE,/criminal/80,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",1
DELETE,/criminal/83,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",1
DELETE,/criminal/39,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",1
DELETE,/criminal/30,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",1
DELETE,/criminal/114,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",1
