Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,/criminal/10,1,0,11.776376000852906,11.776376000852906,11.776376000852906,11.776376000852906,54.0,0.0016754995846204684,0.0,12,12,12,12,12,12,12,12,12,12,12
DELETE,/criminal/100,1,0,11.446860000432935,11.446860000432935,11.446860000432935,11.446860000432935,54.0,0.0016754995846204684,0.0,11,11,11,11,11,11,11,11,11,11,11
DELETE,/criminal/101,1,0,11.969879000389483,11.969879000389483,11.969879000389483,11.969879000389483,54.0,0.0016754995846204684,0.0,12,12,12,12,12,12,12,12,12,12,12
DELETE,/criminal/102,1,0,11.671510999804013,11.671510999804013,11.671510999804013,11.671510999804013,54.0,0.0016754995846204684,0.0,12,12,12,12,12,12,12,12,12,12,12
DELETE,/criminal/103,1,0,11.780494000049657,11.780494000049657,11.780494000049657,11.780494000049657,54.0,0.0016754995846204684,0.0,12,12,12,12,12,12,12,12,12,12,12
DELETE,/criminal/104,1,0,11.61137700000836,11.61137700000836,11.61137700000836,11.61137700000836,54.0,0.0016754995846204684,0.0,12,12,12,12,12,12,12,12,12,12,12
DELETE,/criminal/105,1,0,4.266483998435433,4.266483998435433,4.266483998435433,4.266483998435433,54.0,0.0016754995846204684,0.0,4,4,4,4,4,4,4,4,4,4,4
DELETE,/criminal/106,1,0,4.1378529986104695,4.1378529986104695,4.1378529986104695,4.1378529986104695,54.0,0.0016754995846204684,0.0,4,4,4,4,4,4,4,4,4,4,4
DELETE,/criminal/107,1,0,4.801684999620193,4.801684999620193,4.801684999620193,4.801684999620193,54.0,0.0016754995846204684,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/108,1,0,4.309144000217202,4.309144000217202,4.309144000217202,4.309144000217202,54.0,0.0016754995846204684,0.0,4,4,4,4,4,4,4,4,4,4,4
DELETE,/criminal/109,1,1,2.30920200010587,2.30920200010587,2.30920200010587,2.30920200010587,0.0,0.0016754995846204684,0.0016754995846204684,2,2,2,2,2,2,2,2,2,2,2
DELETE,/criminal/11,1,0,11.693190999721992,11.693190999721992,11.693190999721992,11.693190999721992,54.0,0.0016754995846204684,0.0,12,12,12,12,12,12,12,12,12,12,12
DELETE,/criminal/110,1,0,4.963818999385694,4.963818999385694,4.963818999385694,4.963818999385694,54.0,0.0016754995846204684,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/111,1,0,4.217912999592954,4.217912999592954,4.217912999592954,4.217912999592954,54.0,0.0016754995846204684,0.0,4,4,4,4,4,4,4,4,4,4,4
DELETE,/criminal/112,1,1,2.3828089997550705,2.3828089997550705,2.3828089997550705,2.3828089997550705,0.0,0.0016754995846204684,0.0016754995846204684,2,2,2,2,2,2,2,2,2,2,2
DELETE,/criminal/113,1,0,4.855615999986185,4.855615999986185,4.855615999986185,4.855615999986185,54.0,0.0016754995846204684,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/114,1,1,2.444935000312398,2.444935000312398,2.444935000312398,2.444935000312398,0.0,0.0016754995846204684,0.0016754995846204684,2,2,2,2,2,2,2,2,2,2,2
DELETE,/criminal/115,1,0,4.858240999965346,4.858240999965346,4.858240999965346,4.858240999965346,54.0,0.0016754995846204684,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/116,1,0,4.41335800132947,4.41335800132947,4.41335800132947,4.41335800132947,54.0,0.0016754995846204684,0.0,4,4,4,4,4,4,4,4,4,4,4
