Method,Name,Error,Occurrences
PUT,/criminal/113,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
PUT,/criminal/37,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
PUT,/criminal/94,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",1
PUT,/criminal/88,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",1
PUT,/criminal/81,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",1
PUT,/criminal/28,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
PUT,/criminal/77,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
PUT,/criminal/125,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
PUT,/criminal/108,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",1
PUT,/criminal/60,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",1
PUT,/criminal/83,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",1
PUT,/criminal/49,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
PUT,/criminal/92,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",1
PUT,/criminal/117,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
PUT,/criminal/90,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",1
PUT,/criminal/44,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",1
PUT,/criminal/65,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",1
PUT,/criminal/85,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",1
PUT,/criminal/13,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
PUT,/criminal/67,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
PUT,/criminal/97,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
PUT,/criminal/63,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",1
PUT,/criminal/19,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
PUT,/criminal/128,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1
PUT,/criminal/10,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",1
PUT,/criminal/115,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",1
