Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
PUT,/criminal/10,1,1,2.1181440006330376,2.1181440006330376,2.1181440006330376,2.1181440006330376,0.0,0.0016758138682395581,0.0016758138682395581,2,2,2,2,2,2,2,2,2,2,2
PUT,/criminal/100,1,0,12.21964600154024,12.21964600154024,12.21964600154024,12.21964600154024,51.0,0.0016758138682395581,0.0,12,12,12,12,12,12,12,12,12,12,12
PUT,/criminal/101,1,0,12.411073999828659,12.411073999828659,12.411073999828659,12.411073999828659,51.0,0.0016758138682395581,0.0,12,12,12,12,12,12,12,12,12,12,12
PUT,/criminal/102,1,0,12.45042799928342,12.45042799928342,12.45042799928342,12.45042799928342,51.0,0.0016758138682395581,0.0,12,12,12,12,12,12,12,12,12,12,12
PUT,/criminal/103,1,0,12.086146000001463,12.086146000001463,12.086146000001463,12.086146000001463,51.0,0.0016758138682395581,0.0,12,12,12,12,12,12,12,12,12,12,12
PUT,/criminal/104,1,0,12.827432999984012,12.827432999984012,12.827432999984012,12.827432999984012,51.0,0.0016758138682395581,0.0,13,13,13,13,13,13,13,13,13,13,13
PUT,/criminal/105,1,0,4.570232000332908,4.570232000332908,4.570232000332908,4.570232000332908,51.0,0.0016758138682395581,0.0,5,5,5,5,5,5,5,5,5,5,5
PUT,/criminal/106,1,0,4.68038800136128,4.68038800136128,4.68038800136128,4.68038800136128,51.0,0.0016758138682395581,0.0,5,5,5,5,5,5,5,5,5,5,5
PUT,/criminal/107,1,0,4.920708001009189,4.920708001009189,4.920708001009189,4.920708001009189,51.0,0.0016758138682395581,0.0,5,5,5,5,5,5,5,5,5,5,5
PUT,/criminal/108,1,1,2.567104000263498,2.567104000263498,2.567104000263498,2.567104000263498,0.0,0.0016758138682395581,0.0016758138682395581,3,3,3,3,3,3,3,3,3,3,3
PUT,/criminal/109,1,0,5.250796000836999,5.250796000836999,5.250796000836999,5.250796000836999,51.0,0.0016758138682395581,0.0,5,5,5,5,5,5,5,5,5,5,5
PUT,/criminal/11,1,0,50.8178020008927,50.8178020008927,50.8178020008927,50.8178020008927,51.0,0.0016758138682395581,0.0,51,51,51,51,51,51,51,51,51,51,51
PUT,/criminal/110,1,0,5.029891999583924,5.029891999583924,5.029891999583924,5.029891999583924,51.0,0.0016758138682395581,0.0,5,5,5,5,5,5,5,5,5,5,5
PUT,/criminal/111,1,0,5.288927000947297,5.288927000947297,5.288927000947297,5.288927000947297,51.0,0.0016758138682395581,0.0,5,5,5,5,5,5,5,5,5,5,5
PUT,/criminal/112,1,0,4.680428000938264,4.680428000938264,4.680428000938264,4.680428000938264,51.0,0.0016758138682395581,0.0,5,5,5,5,5,5,5,5,5,5,5
PUT,/criminal/113,1,1,2.4341049993381603,2.4341049993381603,2.4341049993381603,2.4341049993381603,0.0,0.0016758138682395581,0.0016758138682395581,2,2,2,2,2,2,2,2,2,2,2
PUT,/criminal/114,1,0,5.338889999620733,5.338889999620733,5.338889999620733,5.338889999620733,51.0,0.0016758138682395581,0.0,5,5,5,5,5,5,5,5,5,5,5
PUT,/criminal/115,1,1,2.9027019991190173,2.9027019991190173,2.9027019991190173,2.9027019991190173,0.0,0.0016758138682395581,0.0016758138682395581,3,3,3,3,3,3,3,3,3,3,3
PUT,/criminal/116,1,0,5.39256100091734,5.39256100091734,5.39256100091734,5.39256100091734,51.0,0.0016758138682395581,0.0,5,5,5,5,5,5,5,5,5,5,5
