Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,/criminal/10,1,0,5.1854329994966974,5.1854329994966974,5.1854329994966974,5.1854329994966974,54.0,0.0011131135919636378,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/100,1,0,6.8471309987216955,6.8471309987216955,6.8471309987216955,6.8471309987216955,54.0,0.0011131135919636378,0.0,7,7,7,7,7,7,7,7,7,7,7
DELETE,/criminal/101,1,0,6.106847000410198,6.106847000410198,6.106847000410198,6.106847000410198,54.0,0.0011131135919636378,0.0,6,6,6,6,6,6,6,6,6,6,6
DELETE,/criminal/102,1,0,8.008425000298303,8.008425000298303,8.008425000298303,8.008425000298303,54.0,0.0011131135919636378,0.0,8,8,8,8,8,8,8,8,8,8,8
DELETE,/criminal/103,1,0,5.043656999987434,5.043656999987434,5.043656999987434,5.043656999987434,54.0,0.0011131135919636378,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/104,1,0,3.8568670006497996,3.8568670006497996,3.8568670006497996,3.8568670006497996,54.0,0.0011131135919636378,0.0,4,4,4,4,4,4,4,4,4,4,4
DELETE,/criminal/105,1,0,4.86591499975475,4.86591499975475,4.86591499975475,4.86591499975475,54.0,0.0011131135919636378,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/106,1,0,7.1352009999827715,7.1352009999827715,7.1352009999827715,7.1352009999827715,54.0,0.0011131135919636378,0.0,7,7,7,7,7,7,7,7,7,7,7
DELETE,/criminal/107,1,0,6.776119000278413,6.776119000278413,6.776119000278413,6.776119000278413,54.0,0.0011131135919636378,0.0,7,7,7,7,7,7,7,7,7,7,7
DELETE,/criminal/108,1,0,6.1313530004554195,6.1313530004554195,6.1313530004554195,6.1313530004554195,54.0,0.0011131135919636378,0.0,6,6,6,6,6,6,6,6,6,6,6
DELETE,/criminal/109,1,0,7.499692999772378,7.499692999772378,7.499692999772378,7.499692999772378,54.0,0.0011131135919636378,0.0,7,7,7,7,7,7,7,7,7,7,7
DELETE,/criminal/11,1,0,5.00435399953858,5.00435399953858,5.00435399953858,5.00435399953858,54.0,0.0011131135919636378,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/110,1,0,4.992833000869723,4.992833000869723,4.992833000869723,4.992833000869723,54.0,0.0011131135919636378,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/111,1,0,4.908294000415481,4.908294000415481,4.908294000415481,4.908294000415481,54.0,0.0011131135919636378,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/112,1,0,4.9895969987119315,4.9895969987119315,4.9895969987119315,4.9895969987119315,54.0,0.0011131135919636378,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/113,1,0,4.989966999346507,4.989966999346507,4.989966999346507,4.989966999346507,54.0,0.0011131135919636378,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/114,1,0,7.155870000133291,7.155870000133291,7.155870000133291,7.155870000133291,54.0,0.0011131135919636378,0.0,7,7,7,7,7,7,7,7,7,7,7
DELETE,/criminal/115,1,0,6.177829000080237,6.177829000080237,6.177829000080237,6.177829000080237,54.0,0.0011131135919636378,0.0,6,6,6,6,6,6,6,6,6,6,6
DELETE,/criminal/116,1,0,8.015999001145246,8.015999001145246,8.015999001145246,8.015999001145246,54.0,0.0011131135919636378,0.0,8,8,8,8,8,8,8,8,8,8,8
DELETE,/criminal/117,1,0,5.062783000539639,5.062783000539639,5.062783000539639,5.062783000539639,54.0,0.0011131135919636378,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/118,1,0,5.031184000472422,5.031184000472422,5.031184000472422,5.031184000472422,54.0,0.0011131135919636378,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/119,1,0,4.031663000205299,4.031663000205299,4.031663000205299,4.031663000205299,54.0,0.0011131135919636378,0.0,4,4,4,4,4,4,4,4,4,4,4
DELETE,/criminal/12,1,0,5.009263000829378,5.009263000829378,5.009263000829378,5.009263000829378,54.0,0.0011131135919636378,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/120,1,0,5.094162999739638,5.094162999739638,5.094162999739638,5.094162999739638,54.0,0.0011131135919636378,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/121,1,0,5.067822999990312,5.067822999990312,5.067822999990312,5.067822999990312,54.0,0.0011131135919636378,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/122,1,0,3.5692090004886268,3.5692090004886268,3.5692090004886268,3.5692090004886268,54.0,0.0011131135919636378,0.0,4,4,4,4,4,4,4,4,4,4,4
DELETE,/criminal/123,1,0,5.361842999263899,5.361842999263899,5.361842999263899,5.361842999263899,54.0,0.0011131135919636378,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/124,1,0,4.958176999934949,4.958176999934949,4.958176999934949,4.958176999934949,54.0,0.0011131135919636378,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/125,1,0,5.012949999581906,5.012949999581906,5.012949999581906,5.012949999581906,54.0,0.0011131135919636378,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/126,1,0,4.893285999060026,4.893285999060026,4.893285999060026,4.893285999060026,54.0,0.0011131135919636378,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/127,1,0,4.94350099870644,4.94350099870644,4.94350099870644,4.94350099870644,54.0,0.0011131135919636378,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/128,1,0,5.092459001389216,5.092459001389216,5.092459001389216,5.092459001389216,54.0,0.0011131135919636378,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/129,1,0,4.241537000780227,4.241537000780227,4.241537000780227,4.241537000780227,54.0,0.0011131135919636378,0.0,4,4,4,4,4,4,4,4,4,4,4
DELETE,/criminal/13,1,0,5.057132999354508,5.057132999354508,5.057132999354508,5.057132999354508,54.0,0.0011131135919636378,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/130,1,0,5.098690999147948,5.098690999147948,5.098690999147948,5.098690999147948,54.0,0.0011131135919636378,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/131,1,0,5.198998000196298,5.198998000196298,5.198998000196298,5.198998000196298,54.0,0.0011131135919636378,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/132,1,0,4.888697998467251,4.888697998467251,4.888697998467251,4.888697998467251,54.0,0.0011131135919636378,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/133,1,0,4.988474000128917,4.988474000128917,4.988474000128917,4.988474000128917,54.0,0.0011131135919636378,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/134,1,0,5.797047000669409,5.797047000669409,5.797047000669409,5.797047000669409,54.0,0.0011131135919636378,0.0,6,6,6,6,6,6,6,6,6,6,6
DELETE,/criminal/135,1,0,4.957716999342665,4.957716999342665,4.957716999342665,4.957716999342665,54.0,0.0011131135919636378,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/136,1,0,4.389132998767309,4.389132998767309,4.389132998767309,4.389132998767309,54.0,0.0011131135919636378,0.0,4,4,4,4,4,4,4,4,4,4,4
DELETE,/criminal/137,1,0,5.072021000160021,5.072021000160021,5.072021000160021,5.072021000160021,54.0,0.0011131135919636378,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/138,1,0,4.813517000002321,4.813517000002321,4.813517000002321,4.813517000002321,54.0,0.0011131135919636378,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/139,1,0,5.064286000560969,5.064286000560969,5.064286000560969,5.064286000560969,54.0,0.0011131135919636378,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/14,1,0,5.104190999190905,5.104190999190905,5.104190999190905,5.104190999190905,54.0,0.0011131135919636378,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/140,1,0,6.690970001727692,6.690970001727692,6.690970001727692,6.690970001727692,54.0,0.0011131135919636378,0.0,7,7,7,7,7,7,7,7,7,7,7
DELETE,/criminal/141,1,0,6.591433999346918,6.591433999346918,6.591433999346918,6.591433999346918,54.0,0.0011131135919636378,0.0,7,7,7,7,7,7,7,7,7,7,7
DELETE,/criminal/142,1,0,5.827553999552038,5.827553999552038,5.827553999552038,5.827553999552038,54.0,0.0011131135919636378,0.0,6,6,6,6,6,6,6,6,6,6,6
DELETE,/criminal/143,1,0,8.797241000138456,8.797241000138456,8.797241000138456,8.797241000138456,54.0,0.0011131135919636378,0.0,9,9,9,9,9,9,9,9,9,9,9
DELETE,/criminal/144,1,0,8.167784000761458,8.167784000761458,8.167784000761458,8.167784000761458,54.0,0.0011131135919636378,0.0,8,8,8,8,8,8,8,8,8,8,8
DELETE,/criminal/145,1,0,6.9886260007478995,6.9886260007478995,6.9886260007478995,6.9886260007478995,54.0,0.0011131135919636378,0.0,7,7,7,7,7,7,7,7,7,7,7
DELETE,/criminal/146,1,0,6.891986000482575,6.891986000482575,6.891986000482575,6.891986000482575,54.0,0.0011131135919636378,0.0,7,7,7,7,7,7,7,7,7,7,7
DELETE,/criminal/147,1,0,7.1019890001480235,7.1019890001480235,7.1019890001480235,7.1019890001480235,54.0,0.0011131135919636378,0.0,7,7,7,7,7,7,7,7,7,7,7
DELETE,/criminal/148,1,0,6.38906499989389,6.38906499989389,6.38906499989389,6.38906499989389,54.0,0.0011131135919636378,0.0,6,6,6,6,6,6,6,6,6,6,6
DELETE,/criminal/149,1,0,6.311911000011605,6.311911000011605,6.311911000011605,6.311911000011605,54.0,0.0011131135919636378,0.0,6,6,6,6,6,6,6,6,6,6,6
DELETE,/criminal/15,1,0,5.087098999865702,5.087098999865702,5.087098999865702,5.087098999865702,54.0,0.0011131135919636378,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/150,1,0,7.8559100002166815,7.8559100002166815,7.8559100002166815,7.8559100002166815,54.0,0.0011131135919636378,0.0,8,8,8,8,8,8,8,8,8,8,8
DELETE,/criminal/151,1,0,7.653460001165513,7.653460001165513,7.653460001165513,7.653460001165513,54.0,0.0011131135919636378,0.0,8,8,8,8,8,8,8,8,8,8,8
DELETE,/criminal/152,1,0,5.0193930001114495,5.0193930001114495,5.0193930001114495,5.0193930001114495,54.0,0.0011131135919636378,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/153,1,0,7.1987400006037205,7.1987400006037205,7.1987400006037205,7.1987400006037205,54.0,0.0011131135919636378,0.0,7,7,7,7,7,7,7,7,7,7,7
DELETE,/criminal/154,1,0,4.892414999631001,4.892414999631001,4.892414999631001,4.892414999631001,54.0,0.0011131135919636378,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/155,1,0,4.8832880002009915,4.8832880002009915,4.8832880002009915,4.8832880002009915,54.0,0.0011131135919636378,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/156,1,0,4.882086001089192,4.882086001089192,4.882086001089192,4.882086001089192,54.0,0.0011131135919636378,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/157,1,0,4.684676001488697,4.684676001488697,4.684676001488697,4.684676001488697,54.0,0.0011131135919636378,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/158,1,0,4.942378000123426,4.942378000123426,4.942378000123426,4.942378000123426,54.0,0.0011131135919636378,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/159,1,0,4.919606000839849,4.919606000839849,4.919606000839849,4.919606000839849,54.0,0.0011131135919636378,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/16,1,0,5.008271999031422,5.008271999031422,5.008271999031422,5.008271999031422,54.0,0.0011131135919636378,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/160,1,0,5.00959300006798,5.00959300006798,5.00959300006798,5.00959300006798,54.0,0.0011131135919636378,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/161,1,0,5.141050000020186,5.141050000020186,5.141050000020186,5.141050000020186,54.0,0.0011131135919636378,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/162,1,0,4.739337999126292,4.739337999126292,4.739337999126292,4.739337999126292,54.0,0.0011131135919636378,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/163,1,0,5.103899999085115,5.103899999085115,5.103899999085115,5.103899999085115,54.0,0.0011131135919636378,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/164,1,0,6.424811999750091,6.424811999750091,6.424811999750091,6.424811999750091,54.0,0.0011131135919636378,0.0,6,6,6,6,6,6,6,6,6,6,6
