Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
PUT,/criminal/10,1,0,5.889277999813203,5.889277999813203,5.889277999813203,5.889277999813203,51.0,0.001113720006892689,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/100,1,0,4.65272400106187,4.65272400106187,4.65272400106187,4.65272400106187,51.0,0.001113720006892689,0.0,5,5,5,5,5,5,5,5,5,5,5
PUT,/criminal/101,1,0,5.4831879988341825,5.4831879988341825,5.4831879988341825,5.4831879988341825,51.0,0.001113720006892689,0.0,5,5,5,5,5,5,5,5,5,5,5
PUT,/criminal/102,1,0,5.374934999053949,5.374934999053949,5.374934999053949,5.374934999053949,51.0,0.001113720006892689,0.0,5,5,5,5,5,5,5,5,5,5,5
PUT,/criminal/103,1,0,5.54633499996271,5.54633499996271,5.54633499996271,5.54633499996271,51.0,0.001113720006892689,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/104,1,0,5.588805001025321,5.588805001025321,5.588805001025321,5.588805001025321,51.0,0.001113720006892689,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/105,1,0,5.62192700090236,5.62192700090236,5.62192700090236,5.62192700090236,51.0,0.001113720006892689,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/106,1,0,4.819325999051216,4.819325999051216,4.819325999051216,4.819325999051216,51.0,0.001113720006892689,0.0,5,5,5,5,5,5,5,5,5,5,5
PUT,/criminal/107,1,0,5.007228000977193,5.007228000977193,5.007228000977193,5.007228000977193,51.0,0.001113720006892689,0.0,5,5,5,5,5,5,5,5,5,5,5
PUT,/criminal/108,1,0,5.396856000515982,5.396856000515982,5.396856000515982,5.396856000515982,51.0,0.001113720006892689,0.0,5,5,5,5,5,5,5,5,5,5,5
PUT,/criminal/109,1,0,5.435147999378387,5.435147999378387,5.435147999378387,5.435147999378387,51.0,0.001113720006892689,0.0,5,5,5,5,5,5,5,5,5,5,5
PUT,/criminal/11,1,0,7.429338998917956,7.429338998917956,7.429338998917956,7.429338998917956,51.0,0.001113720006892689,0.0,7,7,7,7,7,7,7,7,7,7,7
PUT,/criminal/110,1,0,5.483900000399444,5.483900000399444,5.483900000399444,5.483900000399444,51.0,0.001113720006892689,0.0,5,5,5,5,5,5,5,5,5,5,5
PUT,/criminal/111,1,0,5.525898000996676,5.525898000996676,5.525898000996676,5.525898000996676,51.0,0.001113720006892689,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/112,1,0,5.451357999845641,5.451357999845641,5.451357999845641,5.451357999845641,51.0,0.001113720006892689,0.0,5,5,5,5,5,5,5,5,5,5,5
PUT,/criminal/113,1,0,5.61297099920921,5.61297099920921,5.61297099920921,5.61297099920921,51.0,0.001113720006892689,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/114,1,0,6.080015000407002,6.080015000407002,6.080015000407002,6.080015000407002,51.0,0.001113720006892689,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/115,1,0,5.486163001478417,5.486163001478417,5.486163001478417,5.486163001478417,51.0,0.001113720006892689,0.0,5,5,5,5,5,5,5,5,5,5,5
PUT,/criminal/116,1,0,5.875602000742219,5.875602000742219,5.875602000742219,5.875602000742219,51.0,0.001113720006892689,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/117,1,0,5.467658998895786,5.467658998895786,5.467658998895786,5.467658998895786,51.0,0.001113720006892689,0.0,5,5,5,5,5,5,5,5,5,5,5
PUT,/criminal/118,1,0,5.354026001441525,5.354026001441525,5.354026001441525,5.354026001441525,51.0,0.001113720006892689,0.0,5,5,5,5,5,5,5,5,5,5,5
PUT,/criminal/119,1,0,5.8969519996026065,5.8969519996026065,5.8969519996026065,5.8969519996026065,51.0,0.001113720006892689,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/12,1,0,5.5014319987094495,5.5014319987094495,5.5014319987094495,5.5014319987094495,51.0,0.001113720006892689,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/120,1,0,5.581560999416979,5.581560999416979,5.581560999416979,5.581560999416979,51.0,0.001113720006892689,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/121,1,0,5.56098299966834,5.56098299966834,5.56098299966834,5.56098299966834,51.0,0.001113720006892689,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/122,1,0,5.62672700107214,5.62672700107214,5.62672700107214,5.62672700107214,51.0,0.001113720006892689,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/123,1,0,5.577554000410601,5.577554000410601,5.577554000410601,5.577554000410601,51.0,0.001113720006892689,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/124,1,0,6.809078000515001,6.809078000515001,6.809078000515001,6.809078000515001,51.0,0.001113720006892689,0.0,7,7,7,7,7,7,7,7,7,7,7
PUT,/criminal/125,1,0,5.588284999248572,5.588284999248572,5.588284999248572,5.588284999248572,51.0,0.001113720006892689,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/126,1,0,5.597051000222564,5.597051000222564,5.597051000222564,5.597051000222564,51.0,0.001113720006892689,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/127,1,0,5.562045000260696,5.562045000260696,5.562045000260696,5.562045000260696,51.0,0.001113720006892689,0.0,6,6,6,6,6,6,6,6,6,6,6
