Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,/criminal/10,1,0,5.2596259997699235,5.2596259997699235,5.2596259997699235,5.2596259997699235,54.0,0.0011132657476499424,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/100,1,0,4.993779999949766,4.993779999949766,4.993779999949766,4.993779999949766,54.0,0.0011132657476499424,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/101,1,0,6.693909000205167,6.693909000205167,6.693909000205167,6.693909000205167,54.0,0.0011132657476499424,0.0,7,7,7,7,7,7,7,7,7,7,7
DELETE,/criminal/102,1,0,5.968862999907287,5.968862999907287,5.968862999907287,5.968862999907287,54.0,0.0011132657476499424,0.0,6,6,6,6,6,6,6,6,6,6,6
DELETE,/criminal/103,1,0,7.892681000157609,7.892681000157609,7.892681000157609,7.892681000157609,54.0,0.0011132657476499424,0.0,8,8,8,8,8,8,8,8,8,8,8
DELETE,/criminal/104,1,0,9.689230999811116,9.689230999811116,9.689230999811116,9.689230999811116,54.0,0.0011132657476499424,0.0,10,10,10,10,10,10,10,10,10,10,10
DELETE,/criminal/105,1,0,7.025819999853411,7.025819999853411,7.025819999853411,7.025819999853411,54.0,0.0011132657476499424,0.0,7,7,7,7,7,7,7,7,7,7,7
DELETE,/criminal/106,1,0,4.978190000201721,4.978190000201721,4.978190000201721,4.978190000201721,54.0,0.0011132657476499424,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/107,1,0,4.82777899969733,4.82777899969733,4.82777899969733,4.82777899969733,54.0,0.0011132657476499424,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/108,1,0,4.85843600017688,4.85843600017688,4.85843600017688,4.85843600017688,54.0,0.0011132657476499424,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/109,1,0,6.994973000018945,6.994973000018945,6.994973000018945,6.994973000018945,54.0,0.0011132657476499424,0.0,7,7,7,7,7,7,7,7,7,7,7
DELETE,/criminal/11,1,0,5.178565000278468,5.178565000278468,5.178565000278468,5.178565000278468,54.0,0.0011132657476499424,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/110,1,0,11.571111000193923,11.571111000193923,11.571111000193923,11.571111000193923,54.0,0.0011132657476499424,0.0,12,12,12,12,12,12,12,12,12,12,12
DELETE,/criminal/111,1,0,5.006804000004195,5.006804000004195,5.006804000004195,5.006804000004195,54.0,0.0011132657476499424,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/112,1,0,5.168265999600408,5.168265999600408,5.168265999600408,5.168265999600408,54.0,0.0011132657476499424,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/113,1,0,5.162465000012162,5.162465000012162,5.162465000012162,5.162465000012162,54.0,0.0011132657476499424,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/114,1,0,5.009849999623839,5.009849999623839,5.009849999623839,5.009849999623839,54.0,0.0011132657476499424,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/115,1,0,4.998818999865762,4.998818999865762,4.998818999865762,4.998818999865762,54.0,0.0011132657476499424,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/116,1,0,4.92501100006848,4.92501100006848,4.92501100006848,4.92501100006848,54.0,0.0011132657476499424,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/criminal/117,1,0,6.280296000113594,6.280296000113594,6.280296000113594,6.280296000113594,54.0,0.0011132657476499424,0.0,6,6,6,6,6,6,6,6,6,6,6
