Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
PUT,/criminal/10,1,0,5.960108999715885,5.960108999715885,5.960108999715885,5.960108999715885,51.0,0.0011136522204502012,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/100,1,0,5.367489000036585,5.367489000036585,5.367489000036585,5.367489000036585,51.0,0.0011136522204502012,0.0,5,5,5,5,5,5,5,5,5,5,5
PUT,/criminal/101,1,0,5.7350570000380685,5.7350570000380685,5.7350570000380685,5.7350570000380685,51.0,0.0011136522204502012,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/102,1,0,5.606917000022804,5.606917000022804,5.606917000022804,5.606917000022804,51.0,0.0011136522204502012,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/103,1,0,5.362971000067773,5.362971000067773,5.362971000067773,5.362971000067773,51.0,0.0011136522204502012,0.0,5,5,5,5,5,5,5,5,5,5,5
PUT,/criminal/104,1,0,5.537197000194283,5.537197000194283,5.537197000194283,5.537197000194283,51.0,0.0011136522204502012,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/105,1,0,4.621321999820793,4.621321999820793,4.621321999820793,4.621321999820793,51.0,0.0011136522204502012,0.0,5,5,5,5,5,5,5,5,5,5,5
PUT,/criminal/106,1,0,5.571731000145519,5.571731000145519,5.571731000145519,5.571731000145519,51.0,0.0011136522204502012,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/107,1,0,4.994330000045011,4.994330000045011,4.994330000045011,4.994330000045011,51.0,0.0011136522204502012,0.0,5,5,5,5,5,5,5,5,5,5,5
PUT,/criminal/108,1,0,5.827600999964488,5.827600999964488,5.827600999964488,5.827600999964488,51.0,0.0011136522204502012,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/109,1,0,6.137129999842728,6.137129999842728,6.137129999842728,6.137129999842728,51.0,0.0011136522204502012,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/11,1,0,5.90975500017521,5.90975500017521,5.90975500017521,5.90975500017521,51.0,0.0011136522204502012,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/110,1,0,5.3146100003687025,5.3146100003687025,5.3146100003687025,5.3146100003687025,51.0,0.0011136522204502012,0.0,5,5,5,5,5,5,5,5,5,5,5
PUT,/criminal/111,1,0,5.808525000247755,5.808525000247755,5.808525000247755,5.808525000247755,51.0,0.0011136522204502012,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/112,1,0,5.770484000095166,5.770484000095166,5.770484000095166,5.770484000095166,51.0,0.0011136522204502012,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/113,1,0,5.714198000077886,5.714198000077886,5.714198000077886,5.714198000077886,51.0,0.0011136522204502012,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/114,1,0,4.1714499998306565,4.1714499998306565,4.1714499998306565,4.1714499998306565,51.0,0.0011136522204502012,0.0,4,4,4,4,4,4,4,4,4,4,4
PUT,/criminal/115,1,0,5.4130839998833835,5.4130839998833835,5.4130839998833835,5.4130839998833835,51.0,0.0011136522204502012,0.0,5,5,5,5,5,5,5,5,5,5,5
PUT,/criminal/116,1,0,5.767979000211199,5.767979000211199,5.767979000211199,5.767979000211199,51.0,0.0011136522204502012,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/117,1,0,5.918481000207976,5.918481000207976,5.918481000207976,5.918481000207976,51.0,0.0011136522204502012,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/118,1,0,5.473797999911767,5.473797999911767,5.473797999911767,5.473797999911767,51.0,0.0011136522204502012,0.0,5,5,5,5,5,5,5,5,5,5,5
PUT,/criminal/119,1,0,5.701544999737962,5.701544999737962,5.701544999737962,5.701544999737962,51.0,0.0011136522204502012,0.0,6,6,6,6,6,6,6,6,6,6,6
PUT,/criminal/12,1,0,5.52068600018174,5.52068600018174,5.52068600018174,5.52068600018174,51.0,0.0011136522204502012,0.0,6,6,6,6,6,6,6,6,6,6,6
