user,paradigm,method,throughput
single,fp,DELETE,0.97508750656014676
single,fp,GET,0.99556188311189386
single,fp,POST,0.99412066797705445
single,fp,PUT,0.9745050060311029
single,oop,DELETE,0.97633406068899942
single,oop,GET,0.99542679561418423
single,oop,POST,0.99373163924564434
single,oop,PUT,0.97555934511437625
hundred,fp,DELETE,91.170325391736199
hundred,fp,GET,99.375763922489753
hundred,fp,POST,99.35998967345688
hundred,fp,PUT,91.052782601032021
hundred,oop,DELETE,91.365557547232328
hundred,oop,GET,99.390840764925429
hundred,oop,POST,99.306869429979514
hundred,oop,PUT,91.01968562575955
